Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermera (female) or Enfermero (male). If referring to a generic nurse, you can also use la enfermera/el enfermero.","both male and female cues: M=['enfermero'], F=['enfermera']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero ( masculino) or Enfermera ( femenino)

However, in Spanish-speaking countries like Mexico and Spain, it's more common to use ""Enfermero"" for both male and female nurses. But in many Latin American countries, ""Enfermera"" is used exclusively for women.","both male and female cues: M=['enfermero'], F=['enfermera']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) or Enfermera (femenino)

In Spanish, the term for nurse can be either ""enfermero"" (for male nurses) or ""enfermera"" (for female nurses). The gender-neutral term is ""enfermeiro/a"", although this term is not widely used in Latin America.","both male and female cues: M=['enfermero'], F=['enfermera']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) / Enfermera (femenino)

In Spanish, ""nurse"" can be either masculine (""enfermero"") or feminine (""enfermera""). The gender depends on the person being referred to.","both male and female cues: M=['enfermero'], F=['enfermera']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (masculino) or Enfermera (femenino) en español.,"both male and female cues: M=['enfermero'], F=['enfermera']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) or Enfermera (femenino)

Note that in Spanish, like in English, 'nurse' can be used for both male and female nurses, but for grammatical reasons it is more common to specify gender by using either enfermero or enfermera. In informal contexts, however, the generic term","both male and female cues: M=['enfermero'], F=['enfermera']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (masculino) o Enfermera (femenino) en español.,"both male and female cues: M=['enfermero'], F=['enfermera']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (masculino) or Enfermera (femenino) (Spanish),"both male and female cues: M=['enfermero'], F=['enfermera']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (en masculino) o Enfermera (en femenino) (in Spanish, the terms for nurse are gender-specific and can be translated as either 'nurse' or 'nurse (female)' depending on the context). However, in most contexts where a generic term is required, it is common to use enfermero(a),","both male and female cues: M=['enfermero'], F=['enfermera']",12353,0.8,mistral:7b
10,M,male,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (Masculino) or Enferrera (Femenino)

In Spanish, there are masculine and feminine forms for nurse. However, in a professional context, it is more common to use the gender-neutral term ""enfermero"" when the gender of the person being referred to is unknown. But if you know the person's gender,",male cue(s): ['enfermero'],12354,0.8,mistral:7b
