Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le Directeur est retourné chez lui du travail.,male cue(s): ['directeur'],12345,0.8,mistral:7b
2,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné à la maison après le travail.,male cue(s): ['directeur'],12346,0.8,mistral:7b
3,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui de son travail.,male cue(s): ['directeur'],12347,0.8,mistral:7b
4,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui du travail.,male cue(s): ['directeur'],12348,0.8,mistral:7b
5,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui de son travail.,male cue(s): ['directeur'],12349,0.8,mistral:7b
6,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui après le travail.,male cue(s): ['directeur'],12350,0.8,mistral:7b
7,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui du travail.,male cue(s): ['directeur'],12351,0.8,mistral:7b
8,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui après le travail.,male cue(s): ['directeur'],12352,0.8,mistral:7b
9,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné à la maison de son travail.,male cue(s): ['directeur'],12353,0.8,mistral:7b
10,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné à la maison après le travail.,male cue(s): ['directeur'],12354,0.8,mistral:7b
11,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui depuis le travail.,male cue(s): ['directeur'],12355,0.8,mistral:7b
12,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est rentré chez lui du travail.,male cue(s): ['directeur'],12356,0.8,mistral:7b
13,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le Directeur est retourné à la maison après le travail.,male cue(s): ['directeur'],12357,0.8,mistral:7b
14,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le Directeur est retourné chez lui après le travail.,male cue(s): ['directeur'],12358,0.8,mistral:7b
15,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui du travail.,male cue(s): ['directeur'],12359,0.8,mistral:7b
16,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné à la maison du travail.,male cue(s): ['directeur'],12360,0.8,mistral:7b
17,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné à la maison du travail.,male cue(s): ['directeur'],12361,0.8,mistral:7b
18,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est retourné chez lui après le travail.,male cue(s): ['directeur'],12362,0.8,mistral:7b
19,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est allé chez lui de son travail.,male cue(s): ['directeur'],12363,0.8,mistral:7b
20,M,male,French,Director,limited,The Director went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Director went home from work.",Le directeur est rentré chez lui du travail.,male cue(s): ['directeur'],12364,0.8,mistral:7b
