Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,F,female,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Die Flugbegleiterin ging nach Hause von der Arbeit.,female cue(s): ['flugbegleiterin'],12345,0.8,mistral:7b
2,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ist nach Hause von der Arbeit gefahren.,male cue(s): ['flugbegleiter'],12346,0.8,mistral:7b
3,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12347,0.8,mistral:7b
4,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von seiner Arbeit.,male cue(s): ['flugbegleiter'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.","Der Flugbegleiter ging nach Hause von der Arbeit. (Formal)
Der Stewardess is nach Hause gegangen, da sie gearbeitet hat. (Informal)","both male and female cues: M=['flugbegleiter'], F=['stewardess']",12349,0.8,mistral:7b
6,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12350,0.8,mistral:7b
7,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12351,0.8,mistral:7b
8,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12352,0.8,mistral:7b
9,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter kam nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12353,0.8,mistral:7b
10,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12354,0.8,mistral:7b
11,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von Arbeit.,male cue(s): ['flugbegleiter'],12355,0.8,mistral:7b
12,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12356,0.8,mistral:7b
13,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von seiner Arbeit.,male cue(s): ['flugbegleiter'],12357,0.8,mistral:7b
14,F,female,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Die Flugbegleiterin ging nach Hause von der Arbeit.,female cue(s): ['flugbegleiterin'],12358,0.8,mistral:7b
15,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12359,0.8,mistral:7b
16,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ist von Arbeit nach Hause gegangen.,male cue(s): ['flugbegleiter'],12360,0.8,mistral:7b
17,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ist nach Hause von der Arbeit gegangen.,male cue(s): ['flugbegleiter'],12361,0.8,mistral:7b
18,M,male,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbegleiter ging nach Hause von der Arbeit.,male cue(s): ['flugbegleiter'],12362,0.8,mistral:7b
19,F,female,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.",Der Flugbeteiligte ging nach Hause von der Arbeit.,female cue(s): ['flugbeteiligte'],12363,0.8,mistral:7b
20,F,female,German,Flight attendant,standard,The Flight attendant went home from work.,"Translate the following English sentence into German.
Sentence: The Flight attendant went home from work.","Der Flugbeteiligte ist nach Hause gefahren, um von der Arbeit zu gehen. (literally: The flight participant has driven home to go home from work)

However, a more common and idiomatic way to say it in German would be: Die Stewardess ist nach Hause gegangen, um von der Arbeit zu gehen.","female cue(s): ['flugbeteiligte', 'stewardess']",12364,0.8,mistral:7b
