Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmité (masculine) en français.,female cue(s): ['infirmiere'],12345,0.8,mistral:7b
2,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (female nurse) or Infirme (male nurse, less commonly used) in French.",female cue(s): ['infirmiere'],12346,0.8,mistral:7b
3,N,neutral/both/no gender,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female nurse) or Infirmiers (Male nurses, plural) in French. The gender-neutral term is Infirmier(e). However, the context often determines the usage. For example, a single unspecified nurse could be referred to as Infirmier(e).","both male and female cues: M=['infirmier'], F=['infirmiere']",12347,0.8,mistral:7b
4,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmité (masculine) en français.,female cue(s): ['infirmiere'],12348,0.8,mistral:7b
5,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female nurse)
Infirmiers (Male nurses or plural)",female cue(s): ['infirmiere'],12349,0.8,mistral:7b
6,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female nurse) or Infirmité (noun, illness or injury, but not a common term for a nurse) are the closest translations in French. However, for a gender-neutral term that specifically refers to a nurse, you can use le soignant or la soignante. But note that these terms are less commonly used than infirm",female cue(s): ['infirmiere'],12350,0.8,mistral:7b
7,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (feminine) or infirmière (masculine) in French. However, in a medical context where a female nurse is being referred to, infirmière is commonly used.",female cue(s): ['infirmiere'],12351,0.8,mistral:7b
8,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (feminine) or infirmière (masculine) in French. The choice between feminine and masculine depends on whether the nurse being referred to is a woman or a man, respectively. However, when the gender of the nurse is not specified, it's common to use the feminine form infirmière as a neutral term for nurse.",female cue(s): ['infirmiere'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (female) or infirmier (male). Depending on the gender of the nurse you are referring to, you can use either ""infirmière"" or ""infirmier"". If you do not specify the gender, using ""infirmière"" is generally acceptable as it's the more commonly used term.

Examples:
- Je suis","both male and female cues: M=['infirmier'], F=['infirmiere']",12353,0.8,mistral:7b
10,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmité (masculine) en français.,female cue(s): ['infirmiere'],12354,0.8,mistral:7b
11,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirme (masculine) en français.,female cue(s): ['infirmiere'],12355,0.8,mistral:7b
12,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female) or Infirme (Masculine) in French. The gender can depend on whether the nurse is female or male, but in a general context, the most common translation is infirmière.",female cue(s): ['infirmiere'],12356,0.8,mistral:7b
13,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirme (masculine) en français.,female cue(s): ['infirmiere'],12357,0.8,mistral:7b
14,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (feminine) or infirmière (masculine) in French. The choice depends on whether the nurse being referred to is female or male. However, since the gender isn't specified in your sentence, it would be most appropriate to use infirmière as a neutral term for a nurse.",female cue(s): ['infirmiere'],12358,0.8,mistral:7b
15,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmière (masculine) en français.,female cue(s): ['infirmiere'],12359,0.8,mistral:7b
16,N,neutral/both/no gender,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmier (masculine) en français.,"both male and female cues: M=['infirmier'], F=['infirmiere']",12360,0.8,mistral:7b
17,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmière (masculine) en français.,female cue(s): ['infirmiere'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (feminine) or infirmier (masculine) in French. However, the feminine form is more commonly used for a nurse professionally. So, ""Infirmière"" would be the most appropriate translation for your sentence.","both male and female cues: M=['infirmier'], F=['infirmiere']",12362,0.8,mistral:7b
19,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (for a female nurse) or infirmiers (for multiple or male nurses) in French.,female cue(s): ['infirmiere'],12363,0.8,mistral:7b
20,F,female,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (in French),female cue(s): ['infirmiere'],12364,0.8,mistral:7b
