Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Officier de police (masc.) for a male police officer, and Officière de police (fem.) for a female police officer. However, in most cases, simply ""Police"" can suffice to refer to a police officer in general contexts.","both male and female cues: M=['officier de police'], F=['officiere de police']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Agent de police (m) in French, if referring to a male officer, and Agente de police (f) for a female officer.","both male and female cues: M=['agent de police'], F=['agente de police']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Agent de police (m) (masculine singular, generic term for a police officer)

If you're referring to a female police officer, it would be: Agente de police (feminine singular). If you want a more specific rank or title, such as ""sergent"" or ""inspecteur"", those would need to be included in the translation.","both male and female cues: M=['agent de police'], F=['agente de police']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.",Agent de police (male) or Agente de police (female) in French. The gender depends on whether you're referring to a male or female police officer.,"both male and female cues: M=['agent de police'], F=['agente de police']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Agent de police (masc) in French. However, if referring to a female police officer, it would be Agente de police (feminine). In more informal contexts, one might say Policière (female) or Policier (male), but using the formal titles is more appropriate in professional settings.","both male and female cues: M=['policier', 'agent de police'], F=['policiere', 'agente de police']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Agent de police (masc.) or Agente de police (fem.). If referring to a group, it could be Policiers (masculine plural) or Policières (feminine plural).","both male and female cues: M=['agent de police'], F=['agente de police']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.",Agent de police (m) (if referring to a male officer) or Agente de police (f) (if referring to a female officer) in French.,"both male and female cues: M=['agent de police'], F=['agente de police']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Agent de police (masc.) or Agente de police (fem.), depending on the gender of the person being referred to.","both male and female cues: M=['agent de police'], F=['agente de police']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.",Agent de police (Masculin) or Agente de police (Feminin),"both male and female cues: M=['agent de police'], F=['agente de police']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,French,Police Officer,one_word,Police Officer.,"Translate the following English sentence into French.
Sentence: Police Officer.","Agent de police (m) (when referring to a male officer) or Agente de police (f) (when referring to a female officer). In informal speech, you can also say policier (male) or policière (female).","both male and female cues: M=['policier', 'agent de police'], F=['policiere', 'agente de police']",12354,0.8,mistral:7b
