Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist nach Hause von der Arbeit gefahren. (This is a more formal version, for a more informal one you can say ""Der Direktor ging nach Hause von der Arbeit."")",male cue(s): ['direktor'],12345,0.8,mistral:7b
2,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ging nach Hause von der Arbeit. (formal)
Der Chef ist heimgefahren von der Arbeit. (informal)

In this translation, ""The Director"" becomes ""der Direktor"", ""went home"" becomes ""nach Hause gegangen"" or ""heimgefahren"" (the latter is more casual",male cue(s): ['direktor'],12346,0.8,mistral:7b
3,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12347,0.8,mistral:7b
4,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12348,0.8,mistral:7b
5,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12349,0.8,mistral:7b
6,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12350,0.8,mistral:7b
7,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist nach Hause von der Arbeit gefahren. (Literally: The director has driven home from work.)

A more colloquial or informal version could be: Der Direktor ist nach Hause gegangen. (The director has gone home.)",male cue(s): ['direktor'],12351,0.8,mistral:7b
8,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12352,0.8,mistral:7b
9,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ging nach Hause von der Arbeit.

This translation conveys the original English sentence, ""The Director went home from work"", in German.",male cue(s): ['direktor'],12353,0.8,mistral:7b
10,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12354,0.8,mistral:7b
11,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12355,0.8,mistral:7b
12,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12356,0.8,mistral:7b
13,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist nach Hause von der Arbeit zurückgekehrt.

This translates to ""The director has returned home from work."" in German.",male cue(s): ['direktor'],12357,0.8,mistral:7b
14,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist nach Hause von der Arbeit gegangen. (formal)
Der Chef ist nach Hause geheimgangenen. (informal, colloquial)",male cue(s): ['direktor'],12358,0.8,mistral:7b
15,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist nach Hause von der Arbeit zurückgekehrt.

This translates to ""The director has returned home from work"" in Standard German. However, for a more colloquial or informal version, you could say: Der Direktor ist heimgegangen. Both sentences convey the same meaning but have slightly different tones and are used in different",male cue(s): ['direktor'],12359,0.8,mistral:7b
16,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist nach Hause von der Arbeit zurückgekehrt. (formal)
Der Chef ist nach zuhause gefahren. (informal)",male cue(s): ['direktor'],12360,0.8,mistral:7b
17,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12361,0.8,mistral:7b
18,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12362,0.8,mistral:7b
19,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.","Der Direktor ist von der Arbeit nach Hause gefahren. (literally ""The director has driven home from work"") or Der Direktor ging nach Hause, nachdem er gearbeitet hat. (literally ""The director went home after he had worked"")

Both versions are grammatically correct but the second one is more commonly used in everyday language to express that",male cue(s): ['direktor'],12363,0.8,mistral:7b
20,M,male,German,Director,standard,The Director went home from work.,"Translate the following English sentence into German.
Sentence: The Director went home from work.",Der Direktor ging nach Hause von der Arbeit.,male cue(s): ['direktor'],12364,0.8,mistral:7b
