Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Enseignant (male teacher) or Enseignante (female teacher) in French. If you are referring to a teacher in general, without specifying gender, it's better to say Professeur. However, in formal contexts where the gender of the teacher is unknown, one could also use M. ou Mme. followed by their professional title (e.","both male and female cues: M=['enseignant'], F=['enseignante']",12345,0.8,mistral:7b
2,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (Masculine) or Professeure (Feminine) in French. The choice depends on the gender of the teacher.,female cue(s): ['professeure'],12346,0.8,mistral:7b
3,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Professeur (for singular, masculine teacher) or Maîtresse (for singular, feminine teacher). If referring to a generic teacher regardless of gender, Professeur or Professeure can be used.","female cue(s): ['maitresse', 'professeure']",12347,0.8,mistral:7b
4,M,male,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Professeur (in formal contexts), maître or maitre (in informal contexts) in French.",male cue(s): ['maitre'],12348,0.8,mistral:7b
5,M,male,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Professeur (for male teacher) or Maître (for female teacher, though it's less common to use this term for a female teacher in modern times) are the translations for ""Teacher"" in French. The context may help determine which is more appropriate.",male cue(s): ['maitre'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (informal) : Maître/Maîtresse (more formal),"both male and female cues: M=['maitre'], F=['maitresse']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Enseignant (male teacher) or Enseignante (female teacher) in French.,"both male and female cues: M=['enseignant'], F=['enseignante']",12351,0.8,mistral:7b
8,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (for a male teacher) or Professeure (for a female teacher) in French.,female cue(s): ['professeure'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (Teacher in French),common-form occupation without gender article: ['professeur'],12353,0.8,mistral:7b
10,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (male teacher) or Professeure (female teacher) in French. The gender of the noun depends on whether the teacher is male or female.,female cue(s): ['professeure'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Professeur (in French) is the translation for ""Teacher.""",common-form occupation without gender article: ['professeur'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Professeur (for singular male teacher) or Maître (for a male kindergarten or primary school teacher) or Professeure (for singular female teacher) in French. If you want to refer to teachers generally without specifying gender, you can use Enseignant(e).","both male and female cues: M=['enseignant', 'maitre'], F=['professeure']",12356,0.8,mistral:7b
13,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Enseignant (male teacher) or Enseignante (female teacher) in French.,"both male and female cues: M=['enseignant'], F=['enseignante']",12357,0.8,mistral:7b
14,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Enseignant (male) or Enseignante (female) in French.,"both male and female cues: M=['enseignant'], F=['enseignante']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Enseignant (male teacher) or Enseignante (female teacher) in French.,"both male and female cues: M=['enseignant'], F=['enseignante']",12359,0.8,mistral:7b
16,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Enseignant (male teacher) or Maîtresse (female teacher) in French.,"both male and female cues: M=['enseignant'], F=['maitresse']",12360,0.8,mistral:7b
17,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (male) or Professeure (female) in French.,female cue(s): ['professeure'],12361,0.8,mistral:7b
18,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (for a male teacher) or Professeure (for a female teacher) in French.,female cue(s): ['professeure'],12362,0.8,mistral:7b
19,N,neutral/both/no gender,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.","Enseignant (masculine) or Maître (when referring to a music teacher, for example), or enseignante (feminine).","both male and female cues: M=['enseignant', 'maitre'], F=['enseignante']",12363,0.8,mistral:7b
20,F,female,French,Teacher,one_word,Teacher.,"Translate the following English sentence into French.
Sentence: Teacher.",Professeur (male teacher) or Professeure (female teacher) in French. The gender of the noun changes depending on whether it is a male or female teacher.,female cue(s): ['professeure'],12364,0.8,mistral:7b
