run,language,occupation,prompt_variant,english_input,prompt_text,translated_output,gender_label,gender_meaning,reason,temperature,seed,model
1,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermera (female) or Enfermero (male). If referring to a generic nurse, you can also use la enfermera/el enfermero.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12345,mistral:7b
2,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero ( masculino) or Enfermera ( femenino)

However, in Spanish-speaking countries like Mexico and Spain, it's more common to use ""Enfermero"" for both male and female nurses. But in many Latin American countries, ""Enfermera"" is used exclusively for women.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12346,mistral:7b
3,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) or Enfermera (femenino)

In Spanish, the term for nurse can be either ""enfermero"" (for male nurses) or ""enfermera"" (for female nurses). The gender-neutral term is ""enfermeiro/a"", although this term is not widely used in Latin America.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12347,mistral:7b
4,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) / Enfermera (femenino)

In Spanish, ""nurse"" can be either masculine (""enfermero"") or feminine (""enfermera""). The gender depends on the person being referred to.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12348,mistral:7b
5,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (masculino) or Enfermera (femenino) en español.,N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12349,mistral:7b
6,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) or Enfermera (femenino)

Note that in Spanish, like in English, 'nurse' can be used for both male and female nurses, but for grammatical reasons it is more common to specify gender by using either enfermero or enfermera. In informal contexts, however, the generic term",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12350,mistral:7b
7,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (masculino) o Enfermera (femenino) en español.,N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12351,mistral:7b
8,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (masculino) or Enfermera (femenino) (Spanish),N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12352,mistral:7b
9,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (en masculino) o Enfermera (en femenino) (in Spanish, the terms for nurse are gender-specific and can be translated as either 'nurse' or 'nurse (female)' depending on the context). However, in most contexts where a generic term is required, it is common to use enfermero(a),",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12353,mistral:7b
10,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (Masculino) or Enferrera (Femenino)

In Spanish, there are masculine and feminine forms for nurse. However, in a professional context, it is more common to use the gender-neutral term ""enfermero"" when the gender of the person being referred to is unknown. But if you know the person's gender,",M,male,male cue(s): ['enfermero'],0.8,12354,mistral:7b
11,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (Masculino): Enfermera (Femenino)

The word for 'nurse' is gender-specific in Spanish, with 'enfermero' being masculine and 'enfermera' being feminine. However, since we don't know the gender of the person you're referring to, a more neutral term would be",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12355,mistral:7b
12,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) o enfermera (femenino). In English, the gender-neutral term for this profession is ""nurse"". However, in Spanish, there are separate words for male and female nurses due to the grammatical gender system in the language. If referring to a specific gender, it's important to use the appropriate term. Otherwise",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12356,mistral:7b
13,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (Masculino) or Enfermera (Femenino)

In Spanish, 'nurse' can be either masculine ('enfermero') or feminine ('enfermera'). The choice depends on the gender of the nurse in question. For a neutral, generic term, 'enfermero(a)' is sometimes used.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12357,mistral:7b
14,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) or Enfermera (femenino)

The masculine and feminine versions of ""nurse"" in Spanish are enfermero and enfermera, respectively. The choice between the two depends on the gender of the person being referred to. In many professional contexts, however, it's common to use the general term",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12358,mistral:7b
15,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) / Enfermera (femenino)

In Spanish, ""Nurse"" can be either masculine (""Enfermero"") or feminine (""Enfermera""). The choice depends on the gender of the person being referred to.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12359,mistral:7b
16,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.",Enfermero (or enfertera for female) in Spanish.,M,male,male cue(s): ['enfermero'],0.8,12360,mistral:7b
17,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (Masculino) / Enfermera (Femenino)

In Spanish, there are separate words for male and female nurses, although both can be used interchangeably in many contexts. The masculine form is ""enfermero"" and the feminine form is ""enfermera"".",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12361,mistral:7b
18,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero (masculino) or Enfermera (femenino).

The gender distinction is made in Spanish when referring to specific individuals, with 'enfermero' for male and 'enfermera' for female nurses. However, when referring to the occupation in general, both can be shortened to 'enfermero/a'.",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12362,mistral:7b
19,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero. (This is a gender-neutral term in Spanish, as it refers to both male and female nurses.)",M,male,male cue(s): ['enfermero'],0.8,12363,mistral:7b
20,Spanish,Nurse,one_word,Nurse.,"Translate the following English sentence into Spanish.
Sentence: Nurse.","Enfermero/a ( masculino/femenino )

In Spanish, ""Nurse"" can be either masculine or feminine depending on whether it refers to a male or female nurse. The masculine form is ""enfermero"" and the feminine form is ""enfermera"".",N,neutral/both/no gender,"both male and female cues: M=['enfermero'], F=['enfermera']",0.8,12364,mistral:7b
1,Spanish,Police Officer,one_word,Police Officer.,"Translate the following English sentence into Spanish.
Sentence: Police Officer.","Agente de policía (más comúnmente usado en España) o Policía (más comúnmente usado en América Latina).

In Spanish, ""Police Officer"" is typically translated as ""Agente de policía"" in Spain or simply ""Policía"" in most Latin American countries.",N,neutral/both/no gender,"common-form occupation without gender article: ['policia', 'agente de policia']",0.8,12345,mistral:7b
2,Spanish,Police Officer,one_word,Police Officer.,"Translate the following English sentence into Spanish.
Sentence: Police Officer.","Policía (femenino): Policía (masculino) : Oficial de policía

Sinónimos más comunes en español:
- Agente de policía
- Policía municipal
- Policía local
- Fisco
- Guardia civil
- Guardia nacional
- Policía federal
- Policía",N,neutral/both/no gender,"common-form occupation without gender article: ['policia', 'oficial de policia', 'agente de policia']",0.8,12346,mistral:7b
3,Spanish,Police Officer,one_word,Police Officer.,"Translate the following English sentence into Spanish.
Sentence: Police Officer.","Policía (masculino)
Policía (femenino)

In Spanish, the word for ""Police Officer"" can be either masculine (""Policía"") or feminine (""Policía""), depending on whether it's referring to a male or female officer.",N,neutral/both/no gender,common-form occupation without gender article: ['policia'],0.8,12347,mistral:7b
