Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (male) or Pompière (female) in French. The masculine form is more commonly used in general contexts, while the feminine form may be preferred for female firefighters to emphasize their gender.","both male and female cues: M=['pompier'], F=['pompiere']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (Masculin) or Pompière (Feminin) in French. The gender can be chosen based on the context or the specific firefighter being referred to. For example, ""le pompier"" refers to a male firefighter, and ""la pompière"" refers to a female firefighter.","both male and female cues: M=['pompier'], F=['pompiere']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (male) or Pompière (female) in French. However, the gender is often not specified when referring to a firefighter generically, so ""pompier"" can also be used in that case.","both male and female cues: M=['pompier'], F=['pompiere']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompier (male) or Pompière (female) in French. The gender depends on whether you're referring to a male or female firefighter.,"both male and female cues: M=['pompier'], F=['pompiere']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (masc.) or Pompière (fem.) in French. However, in informal contexts, the term ""pompiers"" can be used for both genders.","both male and female cues: M=['pompier'], F=['pompiere']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (masc.) or Pompière (fem.) in French. The masculine form is usually used, unless referring to a female firefighter specifically.","both male and female cues: M=['pompier'], F=['pompiere']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (male) or Pompière (female) in French. However, in a generic context, both can be used for either gender: pompier/pompière.","both male and female cues: M=['pompier'], F=['pompiere']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (masc.) or Pompière (fem.). In informal contexts, feu-voguer could be used as a playful term for both genders. However, in professional or formal settings, it's best to use either pompier or pompière.","both male and female cues: M=['pompier'], F=['pompiere']",12352,0.8,mistral:7b
9,M,male,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompier (Firefighter in French),male cue(s): ['pompier'],12353,0.8,mistral:7b
10,M,male,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompier (in French),male cue(s): ['pompier'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (male) or Pompière (female) in French. However, in a more casual context or when referring to the profession without specifying gender, ""Pompeur"" can be used.","both male and female cues: M=['pompier'], F=['pompiere']",12355,0.8,mistral:7b
12,U,unknown/unclear,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompiers (in French),occupation/gender cue not detected,12356,0.8,mistral:7b
13,M,male,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompier (in French),male cue(s): ['pompier'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompier (masc.) or Pompière (fem.) in French. The masculine form is used more commonly.,"both male and female cues: M=['pompier'], F=['pompiere']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (male) or Pompière (female) in French. However, when referring to a firefighter without specifying gender, the term ""Pompiers"" is used in plural form. So for singular, you can say ""Pompier"" but it's more common to use ""pompiers"" in the singular context as well due","both male and female cues: M=['pompier'], F=['pompiere']",12359,0.8,mistral:7b
16,M,male,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (informally, sapeur-pompier) in French.",male cue(s): ['pompier'],12360,0.8,mistral:7b
17,M,male,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompier (informal) or Pompiers (plural, formal) in French.",male cue(s): ['pompier'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompier (masc.) or Pompière (fem.) in French.,"both male and female cues: M=['pompier'], F=['pompiere']",12362,0.8,mistral:7b
19,F,female,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.",Pompiers (male) or Pompière (female) in French.,female cue(s): ['pompiere'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,French,Firefighter,one_word,Firefighter.,"Translate the following English sentence into French.
Sentence: Firefighter.","Pompiers (male) or Pompières (female) in French. The singular form for both is Pompier/Pompière, but when referring to a group of firefighters, it's more common to use the plural forms.","both male and female cues: M=['pompier'], F=['pompiere']",12364,0.8,mistral:7b
