Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot ging nach Hause von der Arbeit.,male cue(s): ['pilot'],12345,0.8,mistral:7b
2,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot ist nach Hause von der Arbeit zurückgekehrt.,male cue(s): ['pilot'],12346,0.8,mistral:7b
3,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause zurück von der Arbeit.,male cue(s): ['pilot'],12347,0.8,mistral:7b
4,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause von der Arbeit zurück.,male cue(s): ['pilot'],12348,0.8,mistral:7b
5,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause zurück von der Arbeit.,male cue(s): ['pilot'],12349,0.8,mistral:7b
6,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause zurück von der Arbeit.,male cue(s): ['pilot'],12350,0.8,mistral:7b
7,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.","Der Pilot ist nach Hause von der Arbeit gegangen.

In this translation, ""Pilot"" is translated as ""Pilot"", and ""went home"" is translated as ""nach Hause gegangen"". ""From work"" is implied in the context and does not need to be explicitly stated in German.",male cue(s): ['pilot'],12351,0.8,mistral:7b
8,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause von der Arbeit zurück.,male cue(s): ['pilot'],12352,0.8,mistral:7b
9,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.","Der Pilot kehrte nach Hause zurück, nach der Arbeit.

This sentence means that ""The pilot returned home after work"". In this translation, I have used ""nach Hause"" instead of ""zuhause"" because it better fits the context of going home after something (work).",male cue(s): ['pilot'],12353,0.8,mistral:7b
10,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause von der Arbeit zurück.,male cue(s): ['pilot'],12354,0.8,mistral:7b
11,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause von der Arbeit zurück.,male cue(s): ['pilot'],12355,0.8,mistral:7b
12,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause zurück von der Arbeit.,male cue(s): ['pilot'],12356,0.8,mistral:7b
13,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot ist nach Hause von der Arbeit gefahren.,male cue(s): ['pilot'],12357,0.8,mistral:7b
14,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot ging nach Hause von der Arbeit.,male cue(s): ['pilot'],12358,0.8,mistral:7b
15,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot ist nach Hause von der Arbeit gefahren.,male cue(s): ['pilot'],12359,0.8,mistral:7b
16,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.","Der Pilot ist nach Hause von der Arbeit geheimsucht. (Formal)
Der Pilot ist nach zuhause gefahren. (Casual)",male cue(s): ['pilot'],12360,0.8,mistral:7b
17,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause von der Arbeit zurück.,male cue(s): ['pilot'],12361,0.8,mistral:7b
18,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.","Der Pilot ist nach Hause von der Arbeit zurückgekehrt.

This translates to ""The pilot returned home from work."" in German.",male cue(s): ['pilot'],12362,0.8,mistral:7b
19,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot ist nach Hause von der Arbeit gefahren. (formal) or Der Pilot ist nach zu Hause gefahren (informal),male cue(s): ['pilot'],12363,0.8,mistral:7b
20,M,male,German,Pilot,standard,The Pilot went home from work.,"Translate the following English sentence into German.
Sentence: The Pilot went home from work.",Der Pilot kehrte nach Hause zurück von der Arbeit.,male cue(s): ['pilot'],12364,0.8,mistral:7b
