Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ist nach Hause von der Arbeit gegangen.,male cue(s): ['chirurg'],12345,0.8,mistral:7b
2,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12346,0.8,mistral:7b
3,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12347,0.8,mistral:7b
4,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12348,0.8,mistral:7b
5,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12349,0.8,mistral:7b
6,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12350,0.8,mistral:7b
7,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12351,0.8,mistral:7b
8,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12352,0.8,mistral:7b
9,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12353,0.8,mistral:7b
10,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12354,0.8,mistral:7b
11,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12355,0.8,mistral:7b
12,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12356,0.8,mistral:7b
13,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg kehrte nach Hause von der Arbeit zurück.,male cue(s): ['chirurg'],12357,0.8,mistral:7b
14,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg kehrte nach Hause von der Arbeit zurück.,male cue(s): ['chirurg'],12358,0.8,mistral:7b
15,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg kehrte nach Hause von der Arbeit zurück.,male cue(s): ['chirurg'],12359,0.8,mistral:7b
16,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg kehrte nach Hause von der Arbeit zurück.,male cue(s): ['chirurg'],12360,0.8,mistral:7b
17,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12361,0.8,mistral:7b
18,M,male,German,Surgeon,limited,The Surgeon went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Surgeon went home from work.",Der Chirurg ging nach Hause von der Arbeit.,male cue(s): ['chirurg'],12362,0.8,mistral:7b
