Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.",Programmierer (in German),male cue(s): ['programmierer'],12345,0.8,mistral:7b
2,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (male) or Die Programmiererin (female) in German. For neutral, you can also use Das Programmierer.","both male and female cues: M=['programmierer'], F=['programmiererin']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (Männlich)
oder die Programmiererin (Weiblich)

Both options are grammatically correct for a single person, with 'Programmierer' being more commonly used for a person of unspecified gender. The female version, 'Programmiererin', is less frequently used and may sound more formal or","both male and female cues: M=['programmierer'], F=['programmiererin']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (männlich) or die Programmiererin (weiblich). If you want a gender-neutral term, you can use der/die Programmierer/Programmiererin (singular) or die Programmierteam (plural).","both male and female cues: M=['programmierer'], F=['programmiererin']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (Männlich) oder Die Programmiererin (Weiblich)
(In German, we have different genders for nouns, so ""Programmer"" can be either ""Der Programmierer"" for a male or ""Die Programmiererin"" for a female.)","both male and female cues: M=['programmierer'], F=['programmiererin']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (Männlich) oder die Programmiererin (Weiblich)

For gender-neutral language, you could also use:
Der/die Programmierer (Neutrum)","both male and female cues: M=['programmierer'], F=['programmiererin']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (männlich) / Die Programmiererin (weiblich)

The masculine form ""Der Programmierer"" is used when referring to an unspecified or generic programmer, while the feminine form ""Die Programmiererin"" is used for a female programmer.","both male and female cues: M=['programmierer'], F=['programmiererin']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (männlich) oder die Programmiererin (weiblich) ist ein Beruf, der Software entwickelt. Eine weitere Übersetzung für den Begriff ""Programmer"" wäre ""Softwareentwickler"".

Im Deutschen gibt es jedoch keine allgemeine Bezeichnung, die sowohl männliche","both male and female cues: M=['programmierer', 'softwareentwickler'], F=['programmiererin']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (Mann)
or, to include gender neutrality, Der/Die/Geschlechtsneutrales Programmierer
(In formal contexts, you can use ""der Programmierer"" for a male programmer and ""die Programmiererin"" for a female programmer. For a gender-neutral term in a more","both male and female cues: M=['programmierer'], F=['programmiererin']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,German,Programmer,one_word,Programmer.,"Translate the following English sentence into German.
Sentence: Programmer.","Der Programmierer (männlich) / Die Programmiererin (weiblich)
(In formal contexts, the masculine form can be used for both genders in German)

Or more informally:
Programmierer/in

For plural forms, you would say Programmierer/innen.","both male and female cues: M=['programmierer'], F=['programmiererin']",12354,0.8,mistral:7b
