Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","El director (director masculino en español). Para el término femenino, es ""Directora"". En caso de referirse a la dirección en general, puede usarse ""Dirección"".","both male and female cues: M=['director'], F=['directora']",12345,0.8,mistral:7b
2,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.",Director (director) en español.,male cue(s): ['director'],12346,0.8,mistral:7b
3,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (in Spanish) is ""Director"".",male cue(s): ['director'],12347,0.8,mistral:7b
4,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (in Spanish) is ""Director"".",male cue(s): ['director'],12348,0.8,mistral:7b
5,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (in Spanish): Director

In certain contexts, such as in a movie or theater setting, you might use ""Director de cine"" or ""Director de teatro"" to specify that it's a film director or theater director respectively. For example:
- Director de cine: Movie Director
- Director de teatro: Theater Director",male cue(s): ['director'],12349,0.8,mistral:7b
6,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (in Spanish): Director

Explanation: The word ""Director"" is of Latin origin, and it has the same meaning in both English and Spanish.",male cue(s): ['director'],12350,0.8,mistral:7b
7,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (in Spanish) is ""Director"".",male cue(s): ['director'],12351,0.8,mistral:7b
8,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (in Spanish) is ""Director"".",male cue(s): ['director'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (mascúlino): Directora (femenino)
Director (neutro): Director/a (ambos géneros)

The word ""director"" is gender-neutral in English, but in Spanish, it can be either masculine (""director""), feminine (""directora""), or neuter (""director/a""). When the gender","both male and female cues: M=['director'], F=['directora']",12353,0.8,mistral:7b
10,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.",Director (en español) es: Director.,male cue(s): ['director'],12354,0.8,mistral:7b
11,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (en español) se traduce como ""Director"".",male cue(s): ['director'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Directorio (director en masculino, directora en femenino)","both male and female cues: M=['director'], F=['directora']",12356,0.8,mistral:7b
13,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","El director (noun, masculine singular) in Spanish is ""el director"". For example:

- El director es responsable de dirigir la película. - The director is responsible for directing the movie.
- ¿Quien es el director de esta película? - Who is the director of this movie?",male cue(s): ['director'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","El director (masculino) es ""el director"" y la directora (femenino) es ""la directora"". En contextos más generales donde no se especifica el género, se puede utilizar ""director"" para referirse tanto al masculino como al femenino. Por ejemplo:

- El director es responsable de la película.","both male and female cues: M=['director'], F=['directora']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (singular, masculine): Director
Directora (singular, feminine): Directora

In formal contexts, you can use ""director"" for both genders, but it's more common to specify the gender, especially when referring to a specific person. In informal situations, ""dirigente"" is sometimes used instead of ""director"".","both male and female cues: M=['director'], F=['directora']",12359,0.8,mistral:7b
16,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (n): Director (m)

(Note: In Spanish, words for professions ending in ""or"" are often masculine by default. However, in more modern usage, both masculine and feminine forms can be used.)",male cue(s): ['director'],12360,0.8,mistral:7b
17,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (en español) es ""Director"".",male cue(s): ['director'],12361,0.8,mistral:7b
18,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director (singular): director
Directores (plural): directores

So, for singular, the translation of ""Director"" in Spanish is ""director"". For plural, it's ""directores"".",male cue(s): ['director'],12362,0.8,mistral:7b
19,M,male,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director: Director

In this case, since ""Director"" is already in Spanish (pronounced ""dee-rek-tor""), there's no need for translation. However, if you were referring to a different term like 'the director', it would be 'el director' in Spanish.",male cue(s): ['director'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,Spanish,Director,one_word,Director.,"Translate the following English sentence into Spanish.
Sentence: Director.","Director: Director (pronounced dee-rek-tor) in Spanish is ""director"". However, if you meant the masculine form of director in Spanish, it would be ""director"" for a man and ""directora"" for a woman. But since your sentence doesn't specify a gender, ""director"" (without an article) would generally be understood as un","both male and female cues: M=['director'], F=['directora']",12364,0.8,mistral:7b
