Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Profesor (Masculino)
Maestra (Femenino)","both male and female cues: M=['profesor'], F=['maestra']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Maestro (masculino) or Maestra (femenino) in Spanish, depending on the gender of the teacher.","both male and female cues: M=['maestro'], F=['maestra']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for male teacher) or Maestra (for female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for a male teacher) or Maestra (for a female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Maestro (for male teacher) or Maestra (for female teacher). However, if you are referring to a general title for both genders, it would be Profesor/a.","both male and female cues: M=['profesor', 'maestro'], F=['maestra']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for male teacher) or Maestra (for female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for a male teacher) or Maestra (for a female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Maestro (for male teacher) or Maestra (for female teacher) in Spanish. So, depending on the gender of the teacher, it could be either ""Maestro"" or ""Maestra.""","both male and female cues: M=['maestro'], F=['maestra']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Maestro ( masculino ) or Maestra ( femenino ) in Spanish. If the gender is not specified, one can use either of them, but it's common to use ""maestra"" as a more general term for teacher.","both male and female cues: M=['maestro'], F=['maestra']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Maestro (for a male teacher) or Maestra (for a female teacher) in Spanish. So, for your sentence ""Teacher"", it can be either ""El maestro"" or ""La maestra"". The gender is usually determined based on the name of the person if known.","both male and female cues: M=['maestro'], F=['maestra']",12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for masculine teachers) or Maestra (for feminine teachers) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for a male teacher) or Maestra (for a female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12356,0.8,mistral:7b
13,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for a male teacher) or Maestra (for a female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Profesor (Masculino) or Maestra (Femenino) en español. El género depende de si la persona es masculina o femenina.,"both male and female cues: M=['profesor'], F=['maestra']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for a male teacher) or Maestra (for a female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12359,0.8,mistral:7b
16,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for masculine teachers) or Maestra (for feminine teachers) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12360,0.8,mistral:7b
17,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for masculine teacher) or Maestra (for feminine teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12361,0.8,mistral:7b
18,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro (for male teacher) or Maestra (for female teacher) in Spanish.,"both male and female cues: M=['maestro'], F=['maestra']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.",Maestro/a (female) or Profesor (neutral) en español.,neutral cue(s): ['regex:\\bmaestr[oa]\\s*/\\s*[oa]\\b'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,Spanish,Teacher,one_word,Teacher.,"Translate the following English sentence into Spanish.
Sentence: Teacher.","Maestro/Maestra (Depending on gender, maestro for male teacher and maestra for female teacher)

In a more informal context or when addressing the teacher directly, you can use Profesor/Profesora.","both male and female cues: M=['profesor', 'maestro'], F=['profesora', 'maestra']",12364,0.8,mistral:7b
