Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,U,unknown/unclear,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistant de nettoyage (male) / Assistante de nettoyage (female) in French, depending on the gender of the person being referred to. If the gender is not specified, Assistant de nettoyage can be used for both males and females. However, in a professional setting, it's common to specify the gender with either 'monsieur'",occupation/gender cue not detected,12345,0.8,mistral:7b
2,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (Feminine) or Assistante au nettoyage (Masculine) depending on whether the person is female or male. In informal contexts, ""Nettoyeur"" can be used for both genders.","both male and female cues: M=['nettoyeur'], F=['assistante au nettoyage']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) or Assistante au nettoyage (masculine), depending on the gender of the person. In informal contexts, the singular noun ""nettoyeur"" can be used regardless of gender.","both male and female cues: M=['nettoyeur'], F=['assistante au nettoyage']",12347,0.8,mistral:7b
4,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) ou Assistant(e) au nettoyage (masculine/neutre)

In French, both feminine and masculine or neutral versions can be used for the term ""assistant"". However, in a professional context, it is common to use ""assistante"" for women and ""assistant"" for",female cue(s): ['assistante au nettoyage'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.",Assistante au nettoyage (feminine) or Assistant au nettoyage (masculine) in French.,"both male and female cues: M=['assistant au nettoyage'], F=['assistante au nettoyage']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) or Assistante au nettoyage (masculine), depending on the gender of the person being referred to in the context. In a more informal setting, one might say ""Nettoyeuse"" for a female cleaning assistant and ""Nettoyeur"" for a male cleaning assistant.","both male and female cues: M=['nettoyeur'], F=['assistante au nettoyage', 'nettoyeuse']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) or Assistante au nettoyage (masculine), depending on the gender of the person being referred to in context. In informal settings, ""Nettoyeur"" can also be used for both genders. However, it's important to note that French tends to have distinct job titles for male and female","both male and female cues: M=['nettoyeur'], F=['assistante au nettoyage']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) or Assistante au nettoyage (masculine) depending on whether the position is filled by a female or male. In a more informal context, one might also say Nettoyeuse/Nettoyeur (feminine/masculine).","both male and female cues: M=['nettoyeur'], F=['assistante au nettoyage', 'nettoyeuse']",12352,0.8,mistral:7b
9,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.",Assistante au nettoyage (Assistant or Employée in informal contexts),female cue(s): ['assistante au nettoyage'],12353,0.8,mistral:7b
10,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (Feminine) or Assistant au nettoyage (Masculine), depending on the gender of the cleaning assistant in question.","both male and female cues: M=['assistant au nettoyage'], F=['assistante au nettoyage']",12354,0.8,mistral:7b
11,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) ou Assistant au nettoyage (masculine), en fonction de la région et du contexte.","both male and female cues: M=['assistant au nettoyage'], F=['assistante au nettoyage']",12355,0.8,mistral:7b
12,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) or Assistante de nettoyage (masculine) in French, depending on whether you're referring to a female or male cleaning assistant.",female cue(s): ['assistante au nettoyage'],12356,0.8,mistral:7b
13,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (Feminine) or Assistante au nettoyage (Masculine) in French, depending on the gender of the person being referred to.",female cue(s): ['assistante au nettoyage'],12357,0.8,mistral:7b
14,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.",Assistante au nettoyage (feminine) or Assistante au nettoyage (masculine) depending on whether you are referring to a female or male cleaning assistant.,female cue(s): ['assistante au nettoyage'],12358,0.8,mistral:7b
15,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) ou Assistante au nettoyage (masculine, if referring to a male cleaning assistant). However, in most contexts, the gender is not specified and thus it's generally acceptable to use only ""Assistante au nettoyage"". If you're referring to a team of cleaners, it",female cue(s): ['assistante au nettoyage'],12359,0.8,mistral:7b
16,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (Female)
Assistant au nettoyage (Male)

In French, when referring to a job title or profession, if it's a male-dominated field, ""assistant"" is typically used for males and ""assistante"" for females. However, in more modern contexts, both words can be","both male and female cues: M=['assistant au nettoyage'], F=['assistante au nettoyage']",12360,0.8,mistral:7b
17,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (Female) or Assistante au nettoyage (Male) in French, depending on the gender of the person being referred to. However, in a professional context, it's common to omit the gender. So, Assistante au nettoyage could also be used generically.",female cue(s): ['assistante au nettoyage'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante au nettoyage (feminine) or Assistant au nettoyage (masculine) in French, depending on the gender of the person being referred to.","both male and female cues: M=['assistant au nettoyage'], F=['assistante au nettoyage']",12362,0.8,mistral:7b
19,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.",Assistante à la propreté (Feminine) or Assistant à la propreté (Masculine) depending on the gender context in the specific situation.,female cue(s): ['assistante a la proprete'],12363,0.8,mistral:7b
20,F,female,French,Cleaning assistant,one_word,Cleaning assistant.,"Translate the following English sentence into French.
Sentence: Cleaning assistant.","Assistante à la propreté (Feminine) or Assistante à la propreté (Masculine), depending on the gender of the cleaning assistant in question. In a context where the gender is not specified, it's common to use the feminine form.",female cue(s): ['assistante a la proprete'],12364,0.8,mistral:7b
