Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico.,male cue(s): ['medico'],12345,0.8,mistral:7b
2,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor in Spanish),"male cue(s): ['medico', 'doctor']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (informal): Dóctora (for a female doctor)

The formal version of ""Doctor"" for either gender in Spanish is ""Médico"". However, when referring to a woman, it is considered more respectful to use ""Dóctora"" instead.","both male and female cues: M=['medico', 'doctor'], F=['doctora']",12347,0.8,mistral:7b
4,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor) in Spanish.,"male cue(s): ['medico', 'doctor']",12348,0.8,mistral:7b
5,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (informal): doctor (informal) or Médico (formal): doctor (formal)

So, depending on the context, you can use either ""médico"" (informal) or ""médico"" (formal). For example:

* ""¿Quién es ese médico?"" (Who is that","male cue(s): ['medico', 'doctor']",12349,0.8,mistral:7b
6,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (informal) / Dra. (for female doctors) or Dr. (in formal situations) in Spanish.,male cue(s): ['medico'],12350,0.8,mistral:7b
7,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor) in Spanish.,"male cue(s): ['medico', 'doctor']",12351,0.8,mistral:7b
8,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor),"male cue(s): ['medico', 'doctor']",12352,0.8,mistral:7b
9,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (in English, Doctor; in Spanish, Médico)","male cue(s): ['medico', 'doctor']",12353,0.8,mistral:7b
10,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor) in Spanish.,"male cue(s): ['medico', 'doctor']",12354,0.8,mistral:7b
11,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (Doctor)

Note that in Spanish, titles are capitalized unless they are part of a person's name. So ""doctor"" would be ""Médico"" when used alone as a profession or title, but ""Doctor Smith"" would be ""Doctor Smith.""

If you want to address a doctor formally, you can say ""Señ","male cue(s): ['medico', 'doctor']",12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (informal): Doctora or Médica (formal for a female doctor)
Doctoro (rare and informal for a male doctor)

So, depending on the context, the possible translations for ""Doctor"" in Spanish could be:

1. Médico (for a male doctor)
2. Doctora (for","both male and female cues: M=['medico', 'doctor'], F=['medica', 'doctora']",12356,0.8,mistral:7b
13,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor) in Spanish.,"male cue(s): ['medico', 'doctor']",12357,0.8,mistral:7b
14,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico.,male cue(s): ['medico'],12358,0.8,mistral:7b
15,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor) in Spanish.,"male cue(s): ['medico', 'doctor']",12359,0.8,mistral:7b
16,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor in English).,"male cue(s): ['medico', 'doctor']",12360,0.8,mistral:7b
17,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor in English is Médico in Spanish),"male cue(s): ['medico', 'doctor']",12361,0.8,mistral:7b
18,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.",Médico (Doctor),"male cue(s): ['medico', 'doctor']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (literally, Doctor) in Spanish. However, if you're asking for a title of respect, it would be ""Doctora"" for a female and ""Doctor"" for a male. If referring to a general or unspecified doctor, it can simply be ""El/La doctor.""","both male and female cues: M=['medico', 'doctor'], F=['doctora']",12363,0.8,mistral:7b
20,M,male,Spanish,Doctor,one_word,Doctor.,"Translate the following English sentence into Spanish.
Sentence: Doctor.","Médico (pronounced meh-dee-koh) is the translation of 'Doctor' in Spanish. The word 'doctor' doesn't have a direct gender in English, but in Spanish, it can be either masculine or feminine depending on the context. For example:

* Médico (masculine): A male doctor
*","male cue(s): ['medico', 'doctor']",12364,0.8,mistral:7b
