Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (Männlich) or Ärztin (weiblich) - the gender can be determined by context, but for a generic term ""Arzt"" is commonly used in both cases.","both male and female cues: M=['arzt'], F=['arztin']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (male) or Ärztin (female),"both male and female cues: M=['arzt'], F=['arztin']",12346,0.8,mistral:7b
3,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Ärzte),male cue(s): ['arzt'],12347,0.8,mistral:7b
4,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Ärzte),male cue(s): ['arzt'],12348,0.8,mistral:7b
5,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Doktor),"male cue(s): ['arzt', 'doktor']",12349,0.8,mistral:7b
6,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Doktor),"male cue(s): ['arzt', 'doktor']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (male) or Ärztin (female) in German.,"both male and female cues: M=['arzt'], F=['arztin']",12351,0.8,mistral:7b
8,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Doktor),"male cue(s): ['arzt', 'doktor']",12352,0.8,mistral:7b
9,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (informal): Doktor, formaler Anrede mit Akademischer Titulatur: Herr/Frau Doktor","male cue(s): ['arzt', 'doktor']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (informal) oder Ärztin (formal, for a female doctor)

For medical contexts or formal settings, it's more appropriate to use ""Ärzte"" for multiple doctors or ""Die Ärztin"" for a female doctor.","both male and female cues: M=['arzt'], F=['arztin']",12354,0.8,mistral:7b
11,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Ärzte),male cue(s): ['arzt'],12355,0.8,mistral:7b
12,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (informal: Ärzte),male cue(s): ['arzt'],12356,0.8,mistral:7b
13,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (male) or Ärztin (female) in German.,"both male and female cues: M=['arzt'], F=['arztin']",12357,0.8,mistral:7b
14,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (pronounced [ˈaʁts]) is the German word for doctor. So, ""Doctor"" in English translates to ""Arzt"" in German.",male cue(s): ['arzt'],12358,0.8,mistral:7b
15,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (male) or Ärztin (female) in German.,"both male and female cues: M=['arzt'], F=['arztin']",12359,0.8,mistral:7b
16,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (male) or Ärztin (female) in German, both mean doctor.","both male and female cues: M=['arzt'], F=['arztin']",12360,0.8,mistral:7b
17,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (informal) oder Ärzte (plural, formal) in German.",male cue(s): ['arzt'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.","Arzt (male) or Ärztin (female) in German. If referring to a medical profession generally, then simply ""Arzt"" is sufficient.","both male and female cues: M=['arzt'], F=['arztin']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (male doctor) or Ärztin (female doctor) in German.,"both male and female cues: M=['arzt'], F=['arztin']",12363,0.8,mistral:7b
20,M,male,German,Doctor,one_word,Doctor.,"Translate the following English sentence into German.
Sentence: Doctor.",Arzt (in German),male cue(s): ['arzt'],12364,0.8,mistral:7b
