run,language,occupation,prompt_variant,english_input,prompt_text,translated_output,gender_label,gender_meaning,reason,temperature,seed,model
1,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.",Die Krankenschwester ist nach Hause von der Arbeit zurückgekehrt.,F,female,female cue(s): ['krankenschwester'],0.8,12345,mistral:7b
2,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pfleger ging nach Hause von der Arbeit. (Note that in Germany, the more common profession is ""Pfleger"" for a nurse working in healthcare, while ""Nurse"" would translate to Krankenschwester, but this term is less used nowadays.)",N,neutral/both/no gender,"both male and female cues: M=['pfleger'], F=['krankenschwester']",0.8,12346,mistral:7b
3,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (In this context, ""Pflegerin"" is used to refer to a female nurse.)",F,female,female cue(s): ['pflegerin'],0.8,12347,mistral:7b
4,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gefahren. (Female nurse)
Der Pflegepersonal hat nach Hause von der Arbeit gefahren. (General term for a person working as a nurse)",N,neutral/both/no gender,neutral cue(s): ['pflegepersonal'],0.8,12348,mistral:7b
5,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit.

In this translation, I used ""Pflegerin"" instead of ""Nurse"", because in German, there is no direct equivalent to the English term ""nurse"". However, in a hospital or medical context, both terms can be used interchangeably without causing confusion. In a broader sense,",F,female,female cue(s): ['pflegerin'],0.8,12349,mistral:7b
6,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (Note that in English, ""Nurse"" can be either gender-neutral or female, while in German, different words are used for male and female nurses.)",F,female,female cue(s): ['pflegerin'],0.8,12350,mistral:7b
7,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit zurückgekehrt. (literally: The nurse is back home from work)
However, since we are talking about a female nurse, it would be more appropriate to say: Die Pflegeschewester ist nach Hause gefahren.
(The female nurse went home.)",F,female,female cue(s): ['pflegerin'],0.8,12351,mistral:7b
8,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (In this context, ""Pflegerin"" is used as a generic term for a nurse.)",F,female,female cue(s): ['pflegerin'],0.8,12352,mistral:7b
9,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pfleger ist nach Hause von der Arbeit zurückgekehrt. (Formally) or Er kehrte nach Hause zurück, nachdem er arbeitet hatte. (Informally)",M,male,male cue(s): ['pfleger'],0.8,12353,mistral:7b
10,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gefahren. (Formal)
Der Pflegekräfte ist nach Hause geheimsufahren. (Informal, colloquial)

Note that in German, the word for ""nurse"" can be either ""Pflegerin"" (female) or ""Pf",F,female,female cue(s): ['pflegerin'],0.8,12354,mistral:7b
11,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gegangen.

In this sentence, I replaced ""Nurse"" with ""Pflegerin"", which is the female form of a nurse in German. If you want to make it gender-neutral, you can use ""Pflegekraft"" or ""Pflegende"". But since your",N,neutral/both/no gender,neutral cue(s): ['pflegekraft'],0.8,12355,mistral:7b
12,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegekräfte ging nach Hause von der Arbeit. (Literally)
Der Pflegerin ist nach Hause gefahren, als sie von der Arbeit kam. (Formal and more accurately)
Sie ging nach Hause, als die Pflegerin von der Arbeit kam. (More informal but still grammatically correct)",F,female,female cue(s): ['pflegerin'],0.8,12356,mistral:7b
13,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Die Krankenschwester ist nach Hause von der Arbeit gefahren. (formal)
Die Pflegerin ist nach Hause von der Arbeit gefahren. (informal)",F,female,"female cue(s): ['krankenschwester', 'pflegerin']",0.8,12357,mistral:7b
14,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.",Die Krankenschwester ging nach Hause von der Arbeit.,F,female,female cue(s): ['krankenschwester'],0.8,12358,mistral:7b
15,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gegangen. (The nurse went home from work, female gender)
Der Pfleger ist nach Hause von der Arbeit gegangen. (The nurse went home from work, neutral gender)

In German, the word for ""nurse"" can be either gender-specific or gender-neutral",N,neutral/both/no gender,"both male and female cues: M=['pfleger'], F=['pflegerin']",0.8,12359,mistral:7b
16,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.",Die Krankenschwester kehrte nach Hause zurück von der Arbeit.,F,female,female cue(s): ['krankenschwester'],0.8,12360,mistral:7b
17,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gegangen. (Note that in German, ""Nurse"" is feminine, so we use ""Pflegerin"".)",F,female,female cue(s): ['pflegerin'],0.8,12361,mistral:7b
18,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (Female nurse)
Der Pfleger ging nach Hause von der Arbeit. (Male nurse)",N,neutral/both/no gender,"both male and female cues: M=['pfleger'], F=['pflegerin']",0.8,12362,mistral:7b
19,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.",Die Pflegerin ist nach Hause von der Arbeit gegangen.,F,female,female cue(s): ['pflegerin'],0.8,12363,mistral:7b
20,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegepersonal ging nach Hause von der Arbeit. (This is a more general phrase, for specific professions like nurses, you could say ""Die Krankenschwester"" instead of ""das Pflegepersonal"")",N,neutral/both/no gender,neutral cue(s): ['pflegepersonal'],0.8,12364,mistral:7b
1,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizeibeamte ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizeibeamte'],0.8,12345,mistral:7b
2,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause von der Arbeit gegangen.

In this translation, ""The"" has been omitted because it is not necessary in German when starting a sentence. Also, ""has gone"" was changed to ""ist gegangen"", which is the simple past tense of ""gehen"" (to go). If you want to keep the original English word",M,male,male cue(s): ['polizist'],0.8,12346,mistral:7b
3,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizist'],0.8,12347,mistral:7b
4,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause gefahren, von seiner Arbeit.

This translates to ""The policeman has driven home from work."" in Standard German, but a more colloquial or informal version could be ""Der Polizist ist heimgefahren"" which translates to ""The policeman has gone home"".",M,male,"male cue(s): ['polizist', 'policeman']",0.8,12348,mistral:7b
5,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizist'],0.8,12349,mistral:7b
6,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizist'],0.8,12350,mistral:7b
7,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause gefahren, von der Arbeit. (Literally: The policeman has driven home, from work)

A more idiomatic way to express this would be: Der Polizist ist abgearbeitet und nach Hause gefahren. (The police officer has finished working and gone home.)",M,male,"male cue(s): ['polizist', 'policeman']",0.8,12351,mistral:7b
8,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause von der Arbeit gegangen. (formal)
Der Polizeibeamte ist nach Hause gefahren. (informal/colloquial)",M,male,"male cue(s): ['polizist', 'polizeibeamte']",0.8,12352,mistral:7b
9,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist ging nach Hause von seiner Arbeit.,M,male,male cue(s): ['polizist'],0.8,12353,mistral:7b
10,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause gefahren, nachdem er seine Arbeit abgeschlossen hat.

In this sentence, ""The Police officer"" is translated as ""Der Polizist"", ""went home"" as ""nach Hause gefahren"", and ""from work"" as ""nachdem er seine Arbeit abgeschlossen hat"". The phrase """,M,male,male cue(s): ['polizist'],0.8,12354,mistral:7b
11,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause vom Arbeit gegangen. (formal)
Der Polizist ist heimgegangen von der Arbeit. (informal)",M,male,male cue(s): ['polizist'],0.8,12355,mistral:7b
12,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizist'],0.8,12356,mistral:7b
13,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause gefahren, von der Arbeit. (The police officer has driven home from work.)",M,male,male cue(s): ['polizist'],0.8,12357,mistral:7b
14,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizeibeamte ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizeibeamte'],0.8,12358,mistral:7b
15,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause gefahren, von der Arbeit. (literally: The policeman is driven home, from the work)

However, a more common and idiomatic way to say it in German would be: Der Polizist ist vom Dienst nach Hause gegangen. (The policeman went home from duty.)",M,male,"male cue(s): ['polizist', 'policeman']",0.8,12359,mistral:7b
16,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause vom Dienst gefahren.

This translates to ""The policeman drove home from duty."" In a more colloquial or informal context, it can also be said as ""Der Polizist ist nach Hause gegangen"" which means ""The policeman went home"".",M,male,"male cue(s): ['polizist', 'policeman']",0.8,12360,mistral:7b
17,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause gefahren, von der Arbeit. (formal)
Der Polizeibeamte ist nach Hause gefahren, von der Arbeit. (informal)

This translates to ""The police officer drove home from work."" in German. However, please note that the informal variant ""Polizeibeamte"" is often",M,male,"male cue(s): ['polizist', 'polizeibeamte']",0.8,12361,mistral:7b
18,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.","Der Polizist ist nach Hause von der Arbeit gefahren.

This translates to ""The policeman drove home from work."" in German, but since we are talking about a police officer (female), it would be more appropriate to say ""Die Polizistin ist nach Hause von der Arbeit gefahren.""",N,neutral/both/no gender,"both male and female cues: M=['polizist', 'policeman'], F=['polizistin']",0.8,12362,mistral:7b
19,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist kam nach Hause von der Arbeit.,M,male,male cue(s): ['polizist'],0.8,12363,mistral:7b
20,German,Police officer,standard,The Police officer went home from work.,"Translate the following English sentence into German.
Sentence: The Police officer went home from work.",Der Polizist ging nach Hause von der Arbeit.,M,male,male cue(s): ['polizist'],0.8,12364,mistral:7b
1,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ist nach Hause gefahren, nach der Arbeit. (Formal)
Der Feuerwehrmann is nach Hause gefahren, von der Arbeit. (Casual)",M,male,male cue(s): ['feuerwehrmann'],0.8,12345,mistral:7b
2,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ist nach Hause von der Arbeit gegangen. (Formal)
Der Feuerwehrmann ist heimgekommen von der Arbeit. (Informal, more colloquial)",M,male,male cue(s): ['feuerwehrmann'],0.8,12346,mistral:7b
3,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.",Der Feuerwehrmann ging nach Hause von der Arbeit.,M,male,male cue(s): ['feuerwehrmann'],0.8,12347,mistral:7b
4,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.",Der Feuerwehrmann ist nach Hause von der Arbeit gefahren.,M,male,male cue(s): ['feuerwehrmann'],0.8,12348,mistral:7b
5,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ging nach Hause von der Arbeit. (formal)
Der Feuerwehrmann kam nach Hause von der Arbeit. (informal)

Both sentences translate to ""The firefighter came home from work."" The second one is more common in everyday speech, while the first one might be used in a more formal",M,male,male cue(s): ['feuerwehrmann'],0.8,12349,mistral:7b
6,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ging nach Hause von der Arbeit.

This translation maintains the original structure of the English sentence while using German words for ""the firefighter"", ""went"", ""home"", ""from"", and ""work"".",M,male,male cue(s): ['feuerwehrmann'],0.8,12350,mistral:7b
7,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ist nach Hause von der Arbeit zurückgekehrt.

Explanation:

* Feuerwehrmann (male firefighter)
* nach Hause (home)
* von der Arbeit (from work)
* zurückgekehrt (went home from, returned)",M,male,male cue(s): ['feuerwehrmann'],0.8,12351,mistral:7b
8,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ist nach Hause von der Arbeit zurückgekehrt.

This sentence translates to ""The firefighter has gone home from work"" in German, as the verb ""gehen"" means ""to go"", and ""nach Hause"" means ""home"". The verb ""zurückkehren"" is used to say ""to",M,male,male cue(s): ['feuerwehrmann'],0.8,12352,mistral:7b
9,German,Firefighter,standard,The Firefighter went home from work.,"Translate the following English sentence into German.
Sentence: The Firefighter went home from work.","Der Feuerwehrmann ging nach Hause vom Arbeitsplatz. (This literally translates to ""The fireman went home from work-place"", but ""vom Arbeitsplatz"" is rarely used in colloquial German, so a more common way to say it would be ""von der Arbeit"" or just ""nach Hause."")",M,male,male cue(s): ['feuerwehrmann'],0.8,12353,mistral:7b
