Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/in (gender-neutral) oder Fluggastdienstleiter/in (formal) or Stewardess (outdated and female-specific) in Deutsch. Es ist jedoch empfohlen, den geschlechterneutralen Ausdruck zu verwenden, wie ""Flugbegleiter"" oder ""Fluggastd","both male and female cues: M=['flugbegleiter'], F=['stewardess']",12345,0.8,mistral:7b
2,M,male,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/-frau (male or female flight attendant)
Flughafenpersonal (airport staff, more general term for all personnel working at an airport)",male cue(s): ['flugbegleiter'],12346,0.8,mistral:7b
3,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/in (masculine or feminine, depending on context)
Flugbegleiter (neuter, if used in a non-gendered context)",neutral cue(s): ['regex:\\bflugbegleiter\\s*/\\s*in\\b'],12347,0.8,mistral:7b
4,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.",Flugbegleiter/in (female) or Flugbegleiter (male and neutral) in German.,neutral cue(s): ['regex:\\bflugbegleiter\\s*/\\s*in\\b'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/in (for a female flight attendant) or Flugbegleiter (for a male flight attendant) in German. The neutral form ""Flugbegleiter"" can also be used for both genders.",neutral cue(s): ['regex:\\bflugbegleiter\\s*/\\s*in\\b'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/in (männlich/weiblich)

Note that in German, nouns for professions often have a gender-specific form (male or female). In this case, ""Flugbegleiter"" is used for male flight attendants, and ""Flugbegleiterin"" is used for female flight attend","both male and female cues: M=['flugbegleiter'], F=['flugbegleiterin']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/in (masculine or feminine depending on context)

Flugbegleiter is used when referring to a flight attendant in general, while Flugbegleiterin is used for a female flight attendant. When the gender isn't specified, Flugbegleiter can also be used for both male and female flight","both male and female cues: M=['flugbegleiter'], F=['flugbegleiterin']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.",Flugbegleiter/in (männlich/weiblich),neutral cue(s): ['regex:\\bflugbegleiter\\s*/\\s*in\\b'],12352,0.8,mistral:7b
9,M,male,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.",Flugbegleiter/-in (masculine/feminine) oder Luftfahrtspezialist(in) (gender-neutral) ist die deutsche Bezeichnung für einen Flugbegleiter.,male cue(s): ['flugbegleiter'],12353,0.8,mistral:7b
10,N,neutral/both/no gender,German,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into German.
Sentence: Flight attendant.","Flugbegleiter/in (gender-neutral) oder Flughafenpersonal (more general, not only flight attendants)

Flight attendant (male): Flugbegleiter
Flight attendant (female): Flugbegleiterin

For a more gender-neutral option: Flugbegleiter/","both male and female cues: M=['flugbegleiter'], F=['flugbegleiterin']",12354,0.8,mistral:7b
