Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or Secretaria (femenino). If the gender is not specified, it's generally understood as male in many contexts.","both male and female cues: M=['secretario'], F=['secretaria']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (for masculine) or Secretaria (for feminine) in Spanish.,"both male and female cues: M=['secretario'], F=['secretaria']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or Secretaria (femenino) in Spanish. If you are referring to a general secretary without specifying the gender, then you can use either of them interchangeably. However, it is common to specify the gender when necessary for clarity.","both male and female cues: M=['secretario'], F=['secretaria']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (masculino) or Secretaria (femenino). Dependiendo del género que se quiera representar.,"both male and female cues: M=['secretario'], F=['secretaria']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or secretaria (femenino) in Spanish. Depending on whether you are referring to a male or female secretary, respectively.","both male and female cues: M=['secretario'], F=['secretaria']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or Secretaria (femenino) in Spanish, depending on whether you are referring to a male or female secretary respectively.","both male and female cues: M=['secretario'], F=['secretaria']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or Secretaria (femenino) in Spanish. The choice between ""secretario"" and ""secretaria"" depends on the gender of the secretary being referred to.","both male and female cues: M=['secretario'], F=['secretaria']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (masculino) or Secretaria (femenino) en español.,"both male and female cues: M=['secretario'], F=['secretaria']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario ( masculino ) or Secretaria ( femenino ). In modern Spanish, it's becoming more common to use the gender-neutral form Secretario(a). However, for formal contexts, Secretario ( masculine ) and Secretaria ( feminine ) are still commonly used.","both male and female cues: M=['secretario'], F=['secretaria']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (m) or Secretaria (f). In formal contexts, it is common to use these gender-specific terms, but in more informal or mixed-gender settings, Secretario(a) can be used as a neutral term.","both male and female cues: M=['secretario'], F=['secretaria']",12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino)
Secretaria (femenino)

In Spanish, the noun ""secretary"" has two different genders depending on whether it refers to a male or female. However, in most cases, it's used in a gender-neutral way and translates to either ""secretario"" or ""secretaria,"" but without a specific gender indicated","both male and female cues: M=['secretario'], F=['secretaria']",12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (masculino) or Secretaria (femenino) en español. El género varía según el sexo del secretario en cuestión.,"both male and female cues: M=['secretario'], F=['secretaria']",12356,0.8,mistral:7b
13,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (m) or Secretaria (f) in Spanish, depending on whether it's a male or female secretary.","both male and female cues: M=['secretario'], F=['secretaria']",12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or Secretaria (femenino) in Spanish. The gender of the word can be determined based on the secretary's gender. If you are unsure, using ""Secretario"" will generally suffice as it is more commonly used.","both male and female cues: M=['secretario'], F=['secretaria']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (masculino) or Secretaria (femenino) in Spanish. The gender depends on the person being referred to.,"both male and female cues: M=['secretario'], F=['secretaria']",12359,0.8,mistral:7b
16,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (male) or Secretaria (female) in Spanish.,"both male and female cues: M=['secretario'], F=['secretaria']",12360,0.8,mistral:7b
17,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (male) or Secretaria (female) in Spanish.,"both male and female cues: M=['secretario'], F=['secretaria']",12361,0.8,mistral:7b
18,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (masculino) or Secretaria (femenino). If you're unsure about the gender, you can use Secretario/a to be inclusive.","both male and female cues: M=['secretario'], F=['secretaria']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.",Secretario (masculino) or Secretaria (femenino) en español.,"both male and female cues: M=['secretario'], F=['secretaria']",12363,0.8,mistral:7b
20,N,neutral/both/no gender,Spanish,Secretary,one_word,Secretary.,"Translate the following English sentence into Spanish.
Sentence: Secretary.","Secretario (m) or Secretaria (f) in Spanish, depending on whether it's a male or female secretary.","both male and female cues: M=['secretario'], F=['secretaria']",12364,0.8,mistral:7b
