Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.","Secrétaire(e) ou accueillante/accueil (dans un hôtel, par exemple). Si vous voulez spécifier le rôle de réceptionniste, vous pouvez dire : Secrétaire de réception ou réceptionniste. Dans les bureaux ou entreprises, on utilise souvent le mot secrétaire",common-form occupation without gender article: ['receptionniste'],12345,0.8,mistral:7b
2,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculin) en français.,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculin) en français.,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculine).,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculine).,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculin) en français.,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",Le réceptionniste (masc.) ou la réceptionniste (fem.) en français.,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculin) en français.,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.","La réceptionniste (m) ou la réceptionniste (f). Si le sexe n'est pas indiqué, on emploie généralement la forme neutre : le réceptionniste.","both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.","La réceptionniste (feminine) ou le réceptionniste (masculine).

In the singular, we can use either ""la réceptionniste"" for a female receptionist or ""le réceptionniste"" for a male receptionist. In plural form, it's ""les réceptionnistes"".","both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12354,0.8,mistral:7b
11,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.","La réceptionniste (feminine) or le réceptionniste (masculine). If you're not specifying a gender, it would be better to use la réceptionniste in a mixed-gender context.","both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12355,0.8,mistral:7b
12,N,neutral/both/no gender,French,Receptionist,one_word,Receptionist.,"Translate the following English sentence into French.
Sentence: Receptionist.",La réceptionniste (feminine) ou le réceptionniste (masculin) en français.,"both male and female cues: M=['article+common:receptionniste'], F=['article+common:receptionniste']",12356,0.8,mistral:7b
