run,language,occupation,prompt_variant,english_input,prompt_text,translated_output,gender_label,gender_meaning,reason,temperature,seed,model
1,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmité (masculine) en français.,F,female,female cue(s): ['infirmiere'],0.8,12345,mistral:7b
2,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (female nurse) or Infirme (male nurse, less commonly used) in French.",F,female,female cue(s): ['infirmiere'],0.8,12346,mistral:7b
3,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female nurse) or Infirmiers (Male nurses, plural) in French. The gender-neutral term is Infirmier(e). However, the context often determines the usage. For example, a single unspecified nurse could be referred to as Infirmier(e).",N,neutral/both/no gender,"both male and female cues: M=['infirmier'], F=['infirmiere']",0.8,12347,mistral:7b
4,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmité (masculine) en français.,F,female,female cue(s): ['infirmiere'],0.8,12348,mistral:7b
5,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female nurse)
Infirmiers (Male nurses or plural)",F,female,female cue(s): ['infirmiere'],0.8,12349,mistral:7b
6,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (Female nurse) or Infirmité (noun, illness or injury, but not a common term for a nurse) are the closest translations in French. However, for a gender-neutral term that specifically refers to a nurse, you can use le soignant or la soignante. But note that these terms are less commonly used than infirm",F,female,female cue(s): ['infirmiere'],0.8,12350,mistral:7b
7,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (feminine) or infirmière (masculine) in French. However, in a medical context where a female nurse is being referred to, infirmière is commonly used.",F,female,female cue(s): ['infirmiere'],0.8,12351,mistral:7b
8,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (feminine) or infirmière (masculine) in French. The choice between feminine and masculine depends on whether the nurse being referred to is a woman or a man, respectively. However, when the gender of the nurse is not specified, it's common to use the feminine form infirmière as a neutral term for nurse.",F,female,female cue(s): ['infirmiere'],0.8,12352,mistral:7b
9,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.","Infirmière (female) or infirmier (male). Depending on the gender of the nurse you are referring to, you can use either ""infirmière"" or ""infirmier"". If you do not specify the gender, using ""infirmière"" is generally acceptable as it's the more commonly used term.

Examples:
- Je suis",N,neutral/both/no gender,"both male and female cues: M=['infirmier'], F=['infirmiere']",0.8,12353,mistral:7b
10,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirmité (masculine) en français.,F,female,female cue(s): ['infirmiere'],0.8,12354,mistral:7b
11,French,Nurse,one_word,Nurse.,"Translate the following English sentence into French.
Sentence: Nurse.",Infirmière (feminine) ou infirme (masculine) en français.,F,female,female cue(s): ['infirmiere'],0.8,12355,mistral:7b
