Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.",Die Krankenschwester ist nach Hause von der Arbeit zurückgekehrt.,female cue(s): ['krankenschwester'],12345,0.8,mistral:7b
2,N,neutral/both/no gender,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pfleger ging nach Hause von der Arbeit. (Note that in Germany, the more common profession is ""Pfleger"" for a nurse working in healthcare, while ""Nurse"" would translate to Krankenschwester, but this term is less used nowadays.)","both male and female cues: M=['pfleger'], F=['krankenschwester']",12346,0.8,mistral:7b
3,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (In this context, ""Pflegerin"" is used to refer to a female nurse.)",female cue(s): ['pflegerin'],12347,0.8,mistral:7b
4,N,neutral/both/no gender,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gefahren. (Female nurse)
Der Pflegepersonal hat nach Hause von der Arbeit gefahren. (General term for a person working as a nurse)",neutral cue(s): ['pflegepersonal'],12348,0.8,mistral:7b
5,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit.

In this translation, I used ""Pflegerin"" instead of ""Nurse"", because in German, there is no direct equivalent to the English term ""nurse"". However, in a hospital or medical context, both terms can be used interchangeably without causing confusion. In a broader sense,",female cue(s): ['pflegerin'],12349,0.8,mistral:7b
6,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (Note that in English, ""Nurse"" can be either gender-neutral or female, while in German, different words are used for male and female nurses.)",female cue(s): ['pflegerin'],12350,0.8,mistral:7b
7,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit zurückgekehrt. (literally: The nurse is back home from work)
However, since we are talking about a female nurse, it would be more appropriate to say: Die Pflegeschewester ist nach Hause gefahren.
(The female nurse went home.)",female cue(s): ['pflegerin'],12351,0.8,mistral:7b
8,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ging nach Hause von der Arbeit. (In this context, ""Pflegerin"" is used as a generic term for a nurse.)",female cue(s): ['pflegerin'],12352,0.8,mistral:7b
9,M,male,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pfleger ist nach Hause von der Arbeit zurückgekehrt. (Formally) or Er kehrte nach Hause zurück, nachdem er arbeitet hatte. (Informally)",male cue(s): ['pfleger'],12353,0.8,mistral:7b
10,F,female,German,Nurse,standard,The Nurse went home from work.,"Translate the following English sentence into German.
Sentence: The Nurse went home from work.","Der Pflegerin ist nach Hause von der Arbeit gefahren. (Formal)
Der Pflegekräfte ist nach Hause geheimsufahren. (Informal, colloquial)

Note that in German, the word for ""nurse"" can be either ""Pflegerin"" (female) or ""Pf",female cue(s): ['pflegerin'],12354,0.8,mistral:7b
