Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social in Spanish.,male cue(s): ['trabajador social'],12345,0.8,mistral:7b
2,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (masculino)
Trabajadora social (femenino)

The masculine and feminine versions are provided to account for gender in Spanish nouns, just like in English with words such as actor or actress. However, when speaking generically, it is more common to use trabajo social.","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social (Masculino) or Trabajadora social (Femenino).,"both male and female cues: M=['trabajador social'], F=['trabajadora social']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (masculino)
Trabajadora social (femenino)
Trabajador(a) social (neutro)","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (masculino)
Trabajadora social (femenino)

In Spanish, we use different words depending on whether the job is done by a man or a woman. In this case, ""trabajador"" refers to a male social worker, and ""trabajadora"" refers to a female social worker.","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12350,0.8,mistral:7b
7,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (Masculino) or Trabajadora social (Femenino) en español. Dependiendo de si el trabajador es masculino o femenino, el término correcto sería uno u otro.","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (masculino) or Trabajadora social (femenino) en español.

It can also be written as Servidor(a) social, which is more neutral.","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (Masculino)
Trabajadora social (Femenino)
Trabajador social de servicio (Neutro)","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (Masculino) or Trabajadora social (Femenino). If you'd like to indicate the specific profession and not a gender, you can say Trabajador/a de servicios sociales.","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12355,0.8,mistral:7b
12,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (en español)

The job title ""social worker"" translates to ""trabajador social"" in Spanish.",male cue(s): ['trabajador social'],12356,0.8,mistral:7b
13,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12357,0.8,mistral:7b
14,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social.,male cue(s): ['trabajador social'],12358,0.8,mistral:7b
15,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12359,0.8,mistral:7b
16,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12360,0.8,mistral:7b
17,N,neutral/both/no gender,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.","Trabajador social (Masculino)
Social worker (Femenino): Trabajadora social

In Spanish, we use ""trabajador"" for a male social worker and ""trabajadora"" for a female social worker. If you want a gender-neutral term, you can use ""trabajador/a social"".","both male and female cues: M=['trabajador social'], F=['trabajadora social']",12361,0.8,mistral:7b
18,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12362,0.8,mistral:7b
19,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social en español.,male cue(s): ['trabajador social'],12363,0.8,mistral:7b
20,M,male,Spanish,Social worker,one_word,Social worker.,"Translate the following English sentence into Spanish.
Sentence: Social worker.",Trabajador social (o profesional de la asistencia social) en español.,male cue(s): ['trabajador social'],12364,0.8,mistral:7b
