Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (m) ou secrétaire (f). In formal contexts, it is common to specify gender if referring to a specific person: secrétaire (female) or secrétaire (male). However, in informal contexts or when the gender is not known, secrétaire (without an article) can be used.",common-form occupation without gender article: ['secretaire'],12345,0.8,mistral:7b
2,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (masc.) or secrétaire (fem.) in French. However, if you're referring to a government secretary, it would be secrétaire d'État.",common-form occupation without gender article: ['secretaire'],12346,0.8,mistral:7b
3,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (masculine) or secrétaire (feminine) in French. However, when referring to a professional position without specifying gender, you can say secrétaire(e).",common-form occupation without gender article: ['secretaire'],12347,0.8,mistral:7b
4,F,female,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (m) ou secrétaire (f) in French, depending on whether the position is held by a man or a woman. If the gender isn't specified, it is usually assumed to be female. For example, ""la secrétaire"" is the most commonly used form when referring generally to a secretary. However, if you specifically want to indicate a",female cue(s): ['article+common:secretaire'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (masculine) or Secrétaire(feminine) in French, depending on whether it refers to a male or female secretary.",common-form occupation without gender article: ['secretaire'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.",Secrétaire (masculine) or secrétaire (feminine) in French. The gender depends on whether the person is male or female.,common-form occupation without gender article: ['secretaire'],12350,0.8,mistral:7b
7,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (m) ou secrétaire (f) in French, depending on the gender of the secretary. However, in most cases, the term ""secrétaire"" is used generically for both genders.",common-form occupation without gender article: ['secretaire'],12351,0.8,mistral:7b
8,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.",Secrétaire (m) or secrétaire (f) in French. The gender of the noun depends on whether it's referring to a male or female secretary.,common-form occupation without gender article: ['secretaire'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (masculin) or secrétaire (féminin), both can be used to translate the word ""Secretary"" from English to French.",common-form occupation without gender article: ['secretaire'],12353,0.8,mistral:7b
10,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.",Secrétaire (mascular) ou secrétaire (féminin) en français.,common-form occupation without gender article: ['secretaire'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.",Secrétaire (masculine) ou secrétaire (féminin) en français.,common-form occupation without gender article: ['secretaire'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (feminine) or secrétaire (masculine) in French, depending on the gender of the person.",common-form occupation without gender article: ['secretaire'],12356,0.8,mistral:7b
13,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.",Secrétaire (mascular) or secrétaire (féminin) in French.,common-form occupation without gender article: ['secretaire'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (m) for a male secretary, or secrétaire (f) for a female secretary in French. However, in formal contexts, both genders can use secrétaire without specifying gender.",common-form occupation without gender article: ['secretaire'],12358,0.8,mistral:7b
15,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (m) ou secrétaire (f) in French, depending on whether it refers to a male or female secretary. However, when used as a title for an administrative position, it is more commonly referred to as secrétaire or secrétariat without gender specification.",common-form occupation without gender article: ['secretaire'],12359,0.8,mistral:7b
16,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (masc.), secrétaire (fem.) in French. The masculine form is used for a male secretary, and the feminine form for a female secretary. However, it's worth noting that the gender of the noun does not change based on the gender of the person being referred to in most cases in French.",common-form occupation without gender article: ['secretaire'],12360,0.8,mistral:7b
17,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.",Secrétaire (masculin) or secrétaire (féminin) in French.,common-form occupation without gender article: ['secretaire'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (m) or secrétaire (f) in French, depending on whether it refers to a male or female secretary.",common-form occupation without gender article: ['secretaire'],12362,0.8,mistral:7b
19,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (for a male secretary) or Secrétaire(e) (for a female secretary, although in formal contexts 'secrétaire' is often used for both genders). However, in more informal settings, it can be shortened to secrétaire(x). If the context requires specifying the profession as opposed to the office, you might",common-form occupation without gender article: ['secretaire'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,French,Secretary,one_word,Secretary.,"Translate the following English sentence into French.
Sentence: Secretary.","Secrétaire (for a female secretary) or Secrétaire général (for a general secretary) in French. If referring to the position without specifying gender, Secrétaire can be used generally.",common-form occupation without gender article: ['secretaire'],12364,0.8,mistral:7b
