Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Piloto (masculino) or pilota (femenino). Depending on the context, you might choose either masculine (piloto) for a generic pilot, or feminine (pilota) if referring specifically to a female pilot.",common-form occupation without gender article: ['piloto'],12345,0.8,mistral:7b
2,U,unknown/unclear,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Aviador (male) or Aviadora (female) in Spanish. If you are referring to a person who is simply flying an aircraft, then aviator could be used for both genders in informal contexts. However, in more formal or professional settings, it's recommended to use the gender-specific terms.",occupation/gender cue not detected,12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Avionero (Masculino) or Aviadora (Femenino)

The gender-neutral term ""Piloto"" also exists but is less commonly used in Spanish.",common-form occupation without gender article: ['piloto'],12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.",Avionero (formal) or piloto (informal) in Spanish.,common-form occupation without gender article: ['piloto'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Avionero (Masculino) or Aviadora (Femenino) - Depending on whether you want to refer to a male or female pilot. However, in most contexts, ""piloto"" is used generically for both genders. Therefore, the sentence in Spanish could be:

Piloto.",common-form occupation without gender article: ['piloto'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Avionero (masculino) or Aviadora (femenino) in Spanish. However, if referring to the profession of a pilot, it would be Piloto.",common-form occupation without gender article: ['piloto'],12350,0.8,mistral:7b
7,U,unknown/unclear,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Aviador (Masculino) or Aviadora (Femenino)

In Spanish, ""pilot"" can be translated as ""aviador"" for a male pilot and ""aviadora"" for a female pilot.",occupation/gender cue not detected,12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Avionero (masculino) or Aviadora (femenino). En español, el término correcto para ""pilot"" varía según el género del piloto en cuestión. Si es un hombre, se utiliza aviónero; si es una mujer, se utiliza aviadora.",common-form occupation without gender article: ['piloto'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Aviador (literally ""air pilot"") is often used to refer to a pilot, but in a more general context, ""piloto"" can also be used. However, ""aviador"" sounds more formal or technical. So, the answer depends on the specific context you're referring to. For instance:

* Aviador: This pilot is an aviator",common-form occupation without gender article: ['piloto'],12353,0.8,mistral:7b
10,M,male,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Avionero (male pilot) or Aviadora (female pilot) in Spanish. Depending on the gender, you can choose either of these words. For example: El piloto es un hombre (The pilot is a man) or La aviadora es una mujer (The pilot is a woman).",male cue(s): ['article+common:piloto'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.",Avionero (or piloto) in Spanish.,common-form occupation without gender article: ['piloto'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Avión (the noun for pilot is not used in Spanish in this context, but rather aviador or piloto if referring to a person)",common-form occupation without gender article: ['piloto'],12356,0.8,mistral:7b
13,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Aviador (Piloto) in Spanish. However, if you are referring specifically to a pilot of an airplane or helicopter, then ""Aviador"" would be most accurate. But, if you are talking about someone who is leading or directing a group or activity, like a sports team, then ""Piloto"" (which means driver) could also be used in",common-form occupation without gender article: ['piloto'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Pilot,one_word,Pilot.,"Translate the following English sentence into Spanish.
Sentence: Pilot.","Piloto (masculino) or Pilota (femenino) in Spanish. The masculine form is more commonly used, but if referring to a female pilot, the feminine form should be used.",common-form occupation without gender article: ['piloto'],12358,0.8,mistral:7b
