Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,U,unknown/unclear,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Empfangschefin ging nach Hause von Arbeit.,occupation/gender cue not detected,12345,0.8,mistral:7b
2,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmeleiterin ist nach Hause von der Arbeit gegangen.,female cue(s): ['aufnahmeleiterin'],12346,0.8,mistral:7b
3,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmefrau ging nach Hause von der Arbeit.,female cue(s): ['aufnahmefrau'],12347,0.8,mistral:7b
4,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmeleiterin ging nach Hause von der Arbeit.,female cue(s): ['aufnahmeleiterin'],12348,0.8,mistral:7b
5,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmefrau ging nach Hause von der Arbeit.,female cue(s): ['aufnahmefrau'],12349,0.8,mistral:7b
6,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmefrau ging nach Hause von der Arbeit.,female cue(s): ['aufnahmefrau'],12350,0.8,mistral:7b
7,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmeleiterin ging nach Hause von der Arbeit.,female cue(s): ['aufnahmeleiterin'],12351,0.8,mistral:7b
8,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmeleiterin ging nach Hause von der Arbeit.,female cue(s): ['aufnahmeleiterin'],12352,0.8,mistral:7b
9,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.","Die Aufnahmefrau ist nach Hause gegangen, von der Arbeit.",female cue(s): ['aufnahmefrau'],12353,0.8,mistral:7b
10,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmeleiterin ging nach Hause von der Arbeit.,female cue(s): ['aufnahmeleiterin'],12354,0.8,mistral:7b
11,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmefrau ging nach Hause von Arbeit.,female cue(s): ['aufnahmefrau'],12355,0.8,mistral:7b
12,F,female,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Aufnahmefrau ging nach Hause von der Arbeit.,female cue(s): ['aufnahmefrau'],12356,0.8,mistral:7b
13,U,unknown/unclear,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.","Die Ausstellungsbetreuerin ist nach Hause gegangen, von der Arbeit.",occupation/gender cue not detected,12357,0.8,mistral:7b
14,U,unknown/unclear,German,Receptionist,limited,The Receptionist went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Receptionist went home from work.",Die Ausstellungsführerin ging nach Hause von der Arbeit.,occupation/gender cue not detected,12358,0.8,mistral:7b
