Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (Masculino) or Cirujana (Femenino)

Notes: In Spanish, words for professions often have gender and can be either masculine (cirujano) or feminine (cirujana). The choice between the two depends on the gender of the person performing the action.","both male and female cues: M=['cirujano'], F=['cirujana']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (Masculino) or Cirujana (Femenino) in Spanish, depending on the gender of the surgeon.","both male and female cues: M=['cirujano'], F=['cirujana']",12346,0.8,mistral:7b
3,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (masc.) or Cirugiana (fem.) in Spanish.,male cue(s): ['cirujano'],12347,0.8,mistral:7b
4,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (Masculino) or Cirugiana (Feminino) en español.,male cue(s): ['cirujano'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (masc.) or Cirujana (fem.) in Spanish.,"both male and female cues: M=['cirujano'], F=['cirujana']",12349,0.8,mistral:7b
6,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (masc.) or Cirugíana (femenino) in Spanish. Depending on whether you are referring to a male or female surgeon, respectively.",male cue(s): ['cirujano'],12350,0.8,mistral:7b
7,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (Masculino) or Cirujana (Femenino) in Spanish, depending on the gender of the surgeon referred to.","both male and female cues: M=['cirujano'], F=['cirujana']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (Masculino) or Cirujana (Femenino) in Spanish, depending on the gender of the surgeon.","both male and female cues: M=['cirujano'], F=['cirujana']",12352,0.8,mistral:7b
9,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (más formalmente, cirugián).",male cue(s): ['cirujano'],12353,0.8,mistral:7b
10,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (Masculino) or Cirugiana (Feminino) en español.,male cue(s): ['cirujano'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (male surgeon) or Cirujana (female surgeon) in Spanish.,"both male and female cues: M=['cirujano'], F=['cirujana']",12355,0.8,mistral:7b
12,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (in Spanish),male cue(s): ['cirujano'],12356,0.8,mistral:7b
13,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (Masculino) or Cirugiana (Femenino) in Spanish. The gender of the noun depends on whether you are referring to a male or female surgeon.,male cue(s): ['cirujano'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (Masculino) or Cirujana (Femenino) in Spanish. The choice between cirujano and cirujana depends on whether you are referring to a male or female surgeon, respectively.","both male and female cues: M=['cirujano'], F=['cirujana']",12358,0.8,mistral:7b
15,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (Masculino) or Cirugiana (Femenino) in Spanish.,male cue(s): ['cirujano'],12359,0.8,mistral:7b
16,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (Masculino) or Cirugía (Femenino) in Spanish, depending on whether you are referring to a male or female surgeon respectively. However, if it's a general reference, ""Cirujano"" is more commonly used.",male cue(s): ['cirujano'],12360,0.8,mistral:7b
17,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (Masculino) or Cirugiana (Femenino) in Spanish.,male cue(s): ['cirujano'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (Masculino) or Cirujana (Femenino) en español.,"both male and female cues: M=['cirujano'], F=['cirujana']",12362,0.8,mistral:7b
19,M,male,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.","Cirujano (female) - Cirujano (male)

El cirujano - The surgeon (generic)",male cue(s): ['cirujano'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,Spanish,Surgeon,one_word,Surgeon.,"Translate the following English sentence into Spanish.
Sentence: Surgeon.",Cirujano (female: cirujana),"both male and female cues: M=['cirujano'], F=['cirujana']",12364,0.8,mistral:7b
