Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (masculino): terapeuta; terapeuta (femenino): terapeuta o terapista. En general, la palabra correcta en español para 'therapist' es 'terapeuta'.",common-form occupation without gender article: ['terapeuta'],12345,0.8,mistral:7b
2,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (female) or Terapista (neutro/masculine) in Spanish. The gender can depend on the context and the specific country where it's being used. In Latin America, Terapeuta is more common for a female therapist while Terapista is used for both genders. In Spain, Terapista is commonly used for both male and female therap",common-form occupation without gender article: ['terapeuta'],12346,0.8,mistral:7b
3,F,female,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female): Terapeuta
Terapeuta (Male): Terapeuta

Note that in Spanish, there is no gender distinction for jobs like therapist. However, if you want to indicate a specific gender (e.g., in a context where it makes a difference), you can use the feminine form ""la terapeuta"" or the mascul",female cue(s): ['article+common:terapeuta'],12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female) or Terapista (Neutral/Male). In formal contexts, both terms are used for a professional who provides psychological therapy. However, in Latin American countries, Terapista is more common and gender-neutral. In Spain, Terapeuta is generally preferred.",common-form occupation without gender article: ['terapeuta'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female): Terapeuta
Terapeuta (Male): Terapeuta",common-form occupation without gender article: ['terapeuta'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female): Terapista
Terapeuta (Male): Teraputo

The female and male versions are used in some countries to avoid gender-specific terms, although in most contexts, just ""terapeuta"" is used without specifying the gender.",common-form occupation without gender article: ['terapeuta'],12350,0.8,mistral:7b
7,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.",Terapeuta (masc.) / Terapeuta (femenino) in Spanish. It can be used for both male and female therapists.,common-form occupation without gender article: ['terapeuta'],12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female): Terapeuta
Terapista (Male): Terapista",common-form occupation without gender article: ['terapeuta'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (female): Terapista
Terapista (male): Terapeuta",common-form occupation without gender article: ['terapeuta'],12353,0.8,mistral:7b
10,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female) or Terapista (Neutral/Male). In formal or professional contexts, both terms are used interchangeably. However, in some regions, Terapista is more commonly used for male therapists and Terapeuta for female ones.",common-form occupation without gender article: ['terapeuta'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female) - Terapego (Male) in Spanish. However, ""Terapeuta"" is more commonly used for both genders.",common-form occupation without gender article: ['terapeuta'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Femenino): Terapeuta
Terapeuta (Masculino): Terapista

The gender-neutral term is ""Terapeuta"", but if you want to specify a gender, it can be either ""terapesta"" for female or ""terapista"" for male in Spanish.",common-form occupation without gender article: ['terapeuta'],12356,0.8,mistral:7b
13,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Masculino): Terapéuta
Terapeuta (Femenino): Terapeuta

However, in informal or neutral contexts, ""terapeuta"" is commonly used for both genders. So the shortened response could simply be: Terapeuta.",common-form occupation without gender article: ['terapeuta'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (masculino): Terapeuta (femenino)

In Spanish, the word ""terapeuta"" is gender-neutral. However, if you want to specify a gender, it can be either masculine or feminine. The masculine form is ""terapeuta"" and the feminine form is ""terapeuta.""",common-form occupation without gender article: ['terapeuta'],12358,0.8,mistral:7b
15,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (masc.) / Terapeuta (femenino)

In Spanish, there are separate words for male and female therapists, but in most contexts, the gender-neutral term 'terapeuta' is commonly used.",common-form occupation without gender article: ['terapeuta'],12359,0.8,mistral:7b
16,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (masc.) / Terapeuta (femenino)

In Spanish, both ""terapeuta"" (feminine) and ""terapeuta"" (masculine) can be used for a therapist. However, to maintain gender neutrality, ""terapeuta"" is often preferred in modern usage.",common-form occupation without gender article: ['terapeuta'],12360,0.8,mistral:7b
17,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Female) or Terapeuta (Male) in Spanish. If you want to be gender-neutral, you can use Terapista.",common-form occupation without gender article: ['terapeuta'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (female) or Terapeuta (male) in Spanish. If referring to a professional role without specifying gender, you can use Terapeuta.",common-form occupation without gender article: ['terapeuta'],12362,0.8,mistral:7b
19,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.",Terapeuta (male) or Terapeuta (female) in Spanish.,common-form occupation without gender article: ['terapeuta'],12363,0.8,mistral:7b
20,N,neutral/both/no gender,Spanish,Therapist,one_word,Therapist.,"Translate the following English sentence into Spanish.
Sentence: Therapist.","Terapeuta (Femenino): Terapeuta
Terapeuta (Masculino): Terapista

In Spanish, the word ""terapeut"" can be used as a gender-neutral term for both male and female therapists. However, if you want to specify the gender, ""terapeuta"" is used for females and ""terapista"" for",common-form occupation without gender article: ['terapeuta'],12364,0.8,mistral:7b
