Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Attachée de vol (Female) or Cabin crew member (for both male and female) in French. However, a more informal translation is Assistante de bord.",occupation/gender cue not detected,12345,0.8,mistral:7b
2,F,female,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Agent de cabine (masc.) ou hôtesse de l'air (fém.).,"female cue(s): [""hotesse de l'air""]",12346,0.8,mistral:7b
3,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Assistante de vol (masc.) or assistante de vol (fem.). In informal contexts, simply ""volière"" is also sometimes used.",occupation/gender cue not detected,12347,0.8,mistral:7b
4,N,neutral/both/no gender,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Assistante de vol (flight attendant) or hôtessse de l'air (feminine) ou steward (masculine) en français.,"both male and female cues: M=['steward'], F=[""hotessse de l'air""]",12348,0.8,mistral:7b
5,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Assistante de vol (m) in French. For a female flight attendant, it would be assistante de vol (f). However, in most contexts, just ""assistante de vol"" is used for both genders.",occupation/gender cue not detected,12349,0.8,mistral:7b
6,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Assistante de vol (feminine) or Assistante de bord (masculine) in French. The choice between the two depends on the context and the gender of the flight attendant if known. However, in a general sense, both terms can be used interchangeably.",occupation/gender cue not detected,12350,0.8,mistral:7b
7,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Agent de cabine (feminine) or Agents de cabine (masculine if referring to multiple flight attendants) in French. For singular feminine, it's ""Agent(e) de cabine"".",occupation/gender cue not detected,12351,0.8,mistral:7b
8,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Assistante de vol (feminine) or Assistante de vol (masculine, if context requires it) in French. The feminine form is more commonly used for flight attendants.",occupation/gender cue not detected,12352,0.8,mistral:7b
9,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Assistante de vol en français.,occupation/gender cue not detected,12353,0.8,mistral:7b
10,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Assistante de vol (Masculin) ou Assistante de vol (Feminin) en fonction du genre.,occupation/gender cue not detected,12354,0.8,mistral:7b
11,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Assistante de vol (Flight Attendant),occupation/gender cue not detected,12355,0.8,mistral:7b
12,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Assistante de vol (Feminine) or Assistant de vol (Masculine) in French, depending on the gender context.",occupation/gender cue not detected,12356,0.8,mistral:7b
13,F,female,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",La hôtessse de l'air en français.,"female cue(s): [""hotessse de l'air""]",12357,0.8,mistral:7b
14,F,female,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",La hôtessse de l'air (feminine) ou le hôtessre de l'air (masculine) en français.,"female cue(s): [""hotessse de l'air""]",12358,0.8,mistral:7b
15,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Agent de cabine (literally: cabin crew member, but more specifically ""flight attendant"" is used in French)",occupation/gender cue not detected,12359,0.8,mistral:7b
16,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.","Agent de cabine (or assistante de vol) in French. Both terms are used, with ""agent de cabine"" being more common.",occupation/gender cue not detected,12360,0.8,mistral:7b
17,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Assistante de vol en français.,occupation/gender cue not detected,12361,0.8,mistral:7b
18,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Agent de cabine (Flight Attendant),occupation/gender cue not detected,12362,0.8,mistral:7b
19,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Agent de cabin (Feminine: Agente de cabin) or Attaché de vol in French.,occupation/gender cue not detected,12363,0.8,mistral:7b
20,U,unknown/unclear,French,Flight attendant,one_word,Flight attendant.,"Translate the following English sentence into French.
Sentence: Flight attendant.",Assistante de vol (Feminine) or Assistante de vol (Masculine) in French. The gender depends on whether the flight attendant is a woman or a man.,occupation/gender cue not detected,12364,0.8,mistral:7b
