Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbereiter (literal translation) or Vorortnerin/Vorortner (more common, gender-neutral term for a receptionist in modern usage)

Informal settings, you might also use Schalterbedienung as a synonym for receptionist.",occupation/gender cue not detected,12345,0.8,mistral:7b
2,F,female,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangschende (weiblich) oder Empfänger (männlich) - In den meisten Fällen wird die weibliche Form verwendet, um auf eine Rezeptionistin zu verweisen.

Es gibt auch die Übersetzung ""Rezeptionsistin"" für die weibliche Form.",female cue(s): ['rezeptionistin'],12346,0.8,mistral:7b
3,F,female,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbüroangestellte (weiblich) or Empfänger (allgemein) in formaler Sprache oder Zuschauerin in informeller Sprache können übersetzungen sein, je nach Kontext. Im Allgemeinen handelt es sich bei dem englischen Wort ""Receptionist"" um eine Person die im Empfangsgebiet arbe",female cue(s): ['empfangsburoangestellte'],12347,0.8,mistral:7b
4,N,neutral/both/no gender,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbereiter (informal): Empfängnis oder Empfangsbediensteter (literal translation)

However, it's important to note that ""Receptionist"" is a term commonly used in an English-speaking context. In Germany, the term ""Empfangsbereiter"" or ""Rezeptionist/in"" are more commonly used when",neutral cue(s): ['regex:\\brezeptionist\\s*/\\s*in\\b'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbüro-Mitarbeiter (Reception desk employee) or Rezeptionistin/Rezeptionsist (Female/Male receptionist) in German. However, a more common and less formal term for a female receptionist is simply Rezeptionistin, while the male version stays as Rezeptionist.","both male and female cues: M=['rezeptionist'], F=['rezeptionistin']",12349,0.8,mistral:7b
6,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbüro angestellt (This translates to ""Receptionist"" as a job title, but if you're referring to a person, then it would be ""die Empfangsdame/der Empfänger"" for female and male respectively.)",occupation/gender cue not detected,12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbüroangestellter (Rezeptionist) oder Empfängerin (Rezeptionistin) in deutschen Unternehmen. In informalen Kontexten kann auch einfach ""Rezeption"" verwendet werden.","both male and female cues: M=['rezeptionist', 'empfangsburoangestellter'], F=['rezeptionistin']",12351,0.8,mistral:7b
8,F,female,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbüroangestellte (f) or Empfangsassistent (n) – depending on whether you're referring to a female or male receptionist, respectively. However, if gender is not specified, it's more common to use the feminine form in German.",female cue(s): ['empfangsburoangestellte'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbediensteter (in formal contexts) or Aufnahmebediente (in less formal contexts) is the German translation for ""Receptionist"".","both male and female cues: M=['empfangsbediensteter'], F=['aufnahmebediente']",12353,0.8,mistral:7b
10,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsdame (f.) / Empfangsherr (m.)
(Female receptionist, male receptionist)",occupation/gender cue not detected,12354,0.8,mistral:7b
11,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.",Empfangsdame/Empfänger (if male) or Empfangsdienstpersonal (neutral) in German.,occupation/gender cue not detected,12355,0.8,mistral:7b
12,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfängerin (female) or Empfänger (gender-neutral/male) in German can be used for a receptionist role, depending on the context and the gender of the person in question. In case of a gender-neutral term, you might use the plural form: Empfängerinnen und Empfänger.",occupation/gender cue not detected,12356,0.8,mistral:7b
13,M,male,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsdame (for female) or Empfangsmitarbeiter (for male) in formal context, or Empfangschaft (for neither gender-specific in a more casual or informal setting) is the translation of ""Receptionist"" into German.",male cue(s): ['empfangsmitarbeiter'],12357,0.8,mistral:7b
14,N,neutral/both/no gender,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbüroangestellte (weiblich) or Empfangsbüроmitarbeiter (männlich) - these are the gender-specific terms for a receptionist in German. If you want a neutral term, you can use Empfangsbüroangestellter/Empfangsbüroangestellte.","both male and female cues: M=['empfangsburoangestellter'], F=['empfangsburoangestellte']",12358,0.8,mistral:7b
15,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsbereiter (female) or Empfangsbereiter (male)

Receptionist can be translated as ""Empfangsbereiter"" in German, with the gender specified if necessary due to the German grammatical gender system. In this case, ""Empfangsbereiter"" is used for both male and female receptionists. However, for more formal",occupation/gender cue not detected,12359,0.8,mistral:7b
16,U,unknown/unclear,German,Receptionist,one_word,Receptionist.,"Translate the following English sentence into German.
Sentence: Receptionist.","Empfangsdame/Empfänger (male) or Empfangsassistent/in (assistant)

Receptionist can be either gender-specific (Frau Empfangsdame for female, Herr Empfänger or Herr Empfangsassistent for male) or gender-neutral (Empfangsdienstpersonal or Empfangsassistent/in).",occupation/gender cue not detected,12360,0.8,mistral:7b
