Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ist nach Hause von der Arbeit gegangen.,male cue(s): ['lehrer'],12345,0.8,mistral:7b
2,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12346,0.8,mistral:7b
3,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12347,0.8,mistral:7b
4,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12348,0.8,mistral:7b
5,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12349,0.8,mistral:7b
6,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12350,0.8,mistral:7b
7,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12351,0.8,mistral:7b
8,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12352,0.8,mistral:7b
9,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12353,0.8,mistral:7b
10,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12354,0.8,mistral:7b
11,M,male,German,Teacher,limited,The Teacher went home from work.,"Translate the following English sentence into German.
Output exactly one German sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Teacher went home from work.",Der Lehrer ging nach Hause von der Arbeit.,male cue(s): ['lehrer'],12355,0.8,mistral:7b
