Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Jura-Anwalt (Männerform) oder Rechtsanwältin (Frauenform) (beide sind Übersetzungen für Anwalt). In der allgemeinen Umgangssprache wird jedoch oft nur ""Anwalt"" verwendet, um beide Geschlechter gleichzeitig zu vertreten.","both male and female cues: M=['anwalt'], F=['rechtsanwaltin']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (male) or Rechtsanwältin (female) in German. The term translates to ""law attorney"".","both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12346,0.8,mistral:7b
3,M,male,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (informal: Anwalt),"male cue(s): ['rechtsanwalt', 'anwalt']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (male) or Rechtsanwältin (female)

For a general lawyer, these are the most common translations. However, it's important to note that German grammar requires a gender for nouns, and if you aren't sure of the gender of the person you're referring to, you can use ""einer""","both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12348,0.8,mistral:7b
5,M,male,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (informal: Anwalt) in German.,"male cue(s): ['rechtsanwalt', 'anwalt']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (Männer) or Rechtsanwältin (Frauen) in German. The gender-neutral term for a lawyer is Anwalt/Anwältin, but it's more commonly used in an informal context. In formal written language, the gendered forms are typically preferred.","both male and female cues: M=['rechtsanwalt', 'anwalt'], F=['rechtsanwaltin', 'anwaltin']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (male) or Rechtsanwältin (female) in German.,"both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (male) or Rechtsanwältin (female) in German.,"both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12352,0.8,mistral:7b
9,M,male,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (in a formal context) or Anwalt (in a general or informal context) are the terms used in German to refer to a lawyer.,"male cue(s): ['rechtsanwalt', 'anwalt']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (male) or Rechtsanwältin (female) in German.,"both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12354,0.8,mistral:7b
11,M,male,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (informally Anwalt) is the translation for ""Lawyer"" in German.","male cue(s): ['rechtsanwalt', 'anwalt']",12355,0.8,mistral:7b
12,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (Männlich) or Rechtsanwältin (Weiblich) (German for ""Lawyer"")","both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12356,0.8,mistral:7b
13,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Anwalt (male) or Rechtsanwältin (female) in German. If you want a neutral term, you can use Rechtsanwaltschaft for the profession of a lawyer.","both male and female cues: M=['anwalt'], F=['rechtsanwaltin']",12357,0.8,mistral:7b
14,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Anwalt (male) or Anwältin (female) in German. The singular form is Anwalt.,"both male and female cues: M=['anwalt'], F=['anwaltin']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (male) or Rechtsanwältin (female) in German.,"both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12359,0.8,mistral:7b
16,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Anwalt (male) or Rechtsanwältin (female) in German.,"both male and female cues: M=['anwalt'], F=['rechtsanwaltin']",12360,0.8,mistral:7b
17,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (male) or Rechtsanwältin (female) are the translations for ""Lawyer"" in German.","both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12361,0.8,mistral:7b
18,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (male) or Rechtsanwältin (female) in German. If the gender is not specified, it's more common to use ""Rechtsanwalt"" for both genders.","both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.","Rechtsanwalt (for a male lawyer) or Rechtsanwältin (for a female lawyer) are the German translations for the term 'Lawyer'.

For instance, if you're referring to a specific person like John Doe:
John Doe ist ein Rechtsanwalt.
or
John Doe is a Rechtsanwältin","both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12363,0.8,mistral:7b
20,N,neutral/both/no gender,German,Lawyer,one_word,Lawyer.,"Translate the following English sentence into German.
Sentence: Lawyer.",Rechtsanwalt (for a male lawyer) or Rechtsanwältin (for a female lawyer) in German.,"both male and female cues: M=['rechtsanwalt'], F=['rechtsanwaltin']",12364,0.8,mistral:7b
