Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Der Metallarbeiter (männlich) oder die Metallarbeiterin (weiblich).

Here, I've provided both genders for your convenience: ""Metalworker"" (male) and ""Metalworker"" (female) in German. In most contexts, either of the two options can be used depending on the gender of","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12345,0.8,mistral:7b
2,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German. The gender-neutral term would be Metallarbeiter/in.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12346,0.8,mistral:7b
3,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. The term can be gender-neutral by using Metallarbeiter/Metallarbeiterin, but often simply Metallarbeiter is used without specifying the gender.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12347,0.8,mistral:7b
4,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. However, it is also common to use Metallschnitzer (male) or Metallschnitzerin (female), which translates more specifically to a craftsman who works with metals, especially creating decorative objects by carving or etching.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12348,0.8,mistral:7b
5,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12349,0.8,mistral:7b
6,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12350,0.8,mistral:7b
7,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. The word is gender-specific in German, similar to English words like actor and actress.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12351,0.8,mistral:7b
8,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12352,0.8,mistral:7b
9,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12353,0.8,mistral:7b
10,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. However, if referring to a generic person without specifying gender, you can use the neutral form Metallarbeiter/-in.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12354,0.8,mistral:7b
11,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. For a neutral version, you could use Metallarbeiter/-in.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12355,0.8,mistral:7b
12,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. The neutral form, which can be used for both genders, is Metallarbeiter/in.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12356,0.8,mistral:7b
13,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. However, it's more common to use the gender-neutral term Metallarbeiter/in, which means both.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12357,0.8,mistral:7b
14,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Der Metallarbeiter (male) or die Metallarbeiterin (female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12358,0.8,mistral:7b
15,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. However, it's more common to use the gender-neutral form Metallarbeiter/Metallarbeiterin, which can be used for both males and females.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12359,0.8,mistral:7b
16,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German. Both forms are used depending on the gender of the person being referred to.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12360,0.8,mistral:7b
17,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.","Metallarbeiter (male) or Metallarbeiterin (female) in German. If you want a more general term, Metallarbeiter could be used for both genders.","both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12361,0.8,mistral:7b
18,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (male) or Metallarbeiterin (female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12362,0.8,mistral:7b
19,N,neutral/both/no gender,German,Metal worker,one_word,Metal worker.,"Translate the following English sentence into German.
Sentence: Metal worker.",Metallarbeiter (for a male) or Metallarbeiterin (for a female) in German.,"both male and female cues: M=['metallarbeiter'], F=['metallarbeiterin']",12363,0.8,mistral:7b
