Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,U,unknown/unclear,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Eléctrico (masculine) or Eléctrica (feminine). Depending on whether it refers to a male or female electrician, respectively.",occupation/gender cue not detected,12345,0.8,mistral:7b
2,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12346,0.8,mistral:7b
3,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12347,0.8,mistral:7b
4,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12348,0.8,mistral:7b
5,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12349,0.8,mistral:7b
6,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12350,0.8,mistral:7b
7,U,unknown/unclear,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Eléctrico (masculino) or Eléctrica (femenino) in Spanish, depending on the gender of the person you are referring to. For example, ""El eléctrico"" for a male electrician and ""La eléctrica"" for a female electrician.",occupation/gender cue not detected,12351,0.8,mistral:7b
8,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12352,0.8,mistral:7b
9,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Electricista (in English, electrician; in Spanish, electricista)",common-form occupation without gender article: ['electricista'],12353,0.8,mistral:7b
10,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12354,0.8,mistral:7b
11,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12355,0.8,mistral:7b
12,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Electricista (m) or Electricista (f), depending on the gender you want to specify in Spanish. If the gender is not specified, it can be simply ""Electricista"".",common-form occupation without gender article: ['electricista'],12356,0.8,mistral:7b
13,U,unknown/unclear,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Eléctrico (masculino) or Eléctrica (femenino) in Spanish, depending on the gender of the electrician. If the specific gender is not given, ""Eléctrico"" (neutro) could be used as well. So the translation can vary:
- Electrician (male): Eléctrico.
- Electrician (fem",occupation/gender cue not detected,12357,0.8,mistral:7b
14,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Eléctrico (masculino) or Eléctrica (femenino) en español.

In informal contexts, you can also use el electricista (masculino) or la electricista (femenino).","both male and female cues: M=['article+common:electricista'], F=['article+common:electricista']",12358,0.8,mistral:7b
15,M,male,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Eléctrico (masculino) or Eléctrica (femenino) en español. Ambas formas se utilizan para referirse a un electricista.,male cue(s): ['article+common:electricista'],12359,0.8,mistral:7b
16,U,unknown/unclear,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","Eléctrico (Masculino) or Eléctrica (Femenino) in Spanish, depending on whether you are referring to a male or female electrician. However, if the context does not specify the gender, using ""Eléctrico"" would be appropriate.

For example:
- Un eléctrico es un profesional que trabaja con la",occupation/gender cue not detected,12360,0.8,mistral:7b
17,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12361,0.8,mistral:7b
18,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (in Spanish),common-form occupation without gender article: ['electricista'],12362,0.8,mistral:7b
19,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.","El electricista (masculino)

or

La electricista (femenino)

Depending on the gender of the person you are referring to, in Spanish we have separate words for male and female professionals. However, it's also common to use only ""el electricista"" or ""la electricista"" without differentiating between genders.","both male and female cues: M=['article+common:electricista'], F=['article+common:electricista']",12363,0.8,mistral:7b
20,N,neutral/both/no gender,Spanish,Electrician,one_word,Electrician.,"Translate the following English sentence into Spanish.
Sentence: Electrician.",Electricista (masculino) or electricista (femenino) in Spanish.,common-form occupation without gender article: ['electricista'],12364,0.8,mistral:7b
